program,exit_code,wall_ms,verification
BT,0,71,SUCCESSFUL
CG,0,56,SUCCESSFUL
DC,0,99,SUCCESSFUL
EP,0,1553,SUCCESSFUL
FT,0,99,SUCCESSFUL
IS,0,16,SUCCESSFUL
LU,0,30,SUCCESSFUL
MG,0,11,SUCCESSFUL
SP,0,36,SUCCESSFUL
UA,0,355,SUCCESSFUL
