suite,program,units,frontend_ok,raise_ok,linalg_generics,kernel_launches,structured_fusions,structured_rejects,structured_reductions,structured_gemms,structured_stencils,histogram_candidates,csr_spmv_candidates,residual_loops,published_idioms
snu-npb,BT,14,14,14,25,6,8,0,2,0,4,0,0,169,2
snu-npb,CG,1,1,1,18,4,0,4,0,0,0,0,4,40,11
snu-npb,DC,5,4,3,3,0,0,0,0,0,0,0,0,104,6
snu-npb,EP,1,1,1,3,0,0,1,0,0,0,0,0,5,4
snu-npb,FT,5,4,4,5,0,1,0,0,0,0,0,0,12,0
snu-npb,IS,1,1,0,0,0,0,0,0,0,0,3,0,53,5
snu-npb,LU,18,18,18,38,1,6,3,1,0,3,5,0,163,0
snu-npb,MG,1,1,1,56,2,8,4,1,0,7,0,0,46,3
snu-npb,SP,17,17,17,38,0,5,0,2,0,1,0,0,240,2
snu-npb,UA,11,10,9,251,0,12,46,11,0,1,5,1,341,11
parboil,bfs,1,1,1,0,0,0,0,0,0,0,0,0,11,0
parboil,cutcp,5,5,3,8,0,1,6,1,0,0,0,0,17,7
parboil,histo,2,2,2,1,1,0,0,0,0,0,1,0,7,1
parboil,lbm,2,0,0,0,0,0,0,0,0,0,0,0,0,3
parboil,mri-gridding,2,2,2,5,0,0,0,0,0,0,0,0,9,0
parboil,mri-q,3,2,1,0,0,0,0,0,0,0,0,0,11,0
parboil,sad,4,4,3,1,0,0,0,0,0,0,0,0,28,1
parboil,sgemm,2,2,1,1,1,0,1,0,0,0,0,0,7,1
parboil,spmv,2,2,2,0,1,0,0,0,0,0,0,1,3,1
parboil,stencil,3,3,3,1,1,1,0,0,0,1,0,0,5,1
parboil,tpacf,4,4,4,1,1,0,0,0,0,0,1,0,7,1
