id,kernel,native_us,raised_us,raised_over_native,speedup_percent,semantic_family,raised_library,raised_call,timing_source,timing_protocol
103,aten_sumproduct_pair_cpu,874.88,848.896,0.9702999268471104,3.060916767189381,tensor_contraction,cuTENSOR,cublasSgemm_strided_batched_nn_zero,historical resident sweep,raised best of 20; retained native baseline
104,aten_geometric_cpu,877.408,3169.82373,3.6127135038659324,-72.31997502902156,random_distribution,cuRAND,cudnnPointwiseGraph_f32,historical resident sweep,raised best of 20; retained native baseline
105,aten_sparse_bmm_cpu,883.04,865.695999,0.9803587595125929,2.003474778679193,sparse_linear_algebra,cuSPARSE,cublasSgemm_strided_batched_nn_zero,historical resident sweep,raised best of 20; retained native baseline
106,aten_sparse_matmul_csr_to_coo_cpu,934.976,329.983999,0.3529331223475255,183.3397991518977,sparse_format,cuSPARSE,cusparseXcsr2coo_i32_memref,historical resident sweep,raised best of 20; retained native baseline
107,aten_convert_csr_to_coo_cpu,943.2,332.288,0.3522985581000848,183.85015408320493,sparse_format,cuSPARSE,cusparseXcsr2coo_i32_memref,historical resident sweep,raised best of 20; retained native baseline
108,aten_polar_scalarized,950.976,1724.255997,1.8131435462093681,-44.84716876991671,complex_construction,cuDNN,cudnnPointwiseGraph_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
109,aten_cauchy_cpu,960.32,2995.936035,3.119726794193602,-67.94591110153658,random_distribution,cuRAND,cudnnPointwiseGraph_f32,historical resident sweep,raised best of 20; retained native baseline
110,aten_cpu_blas_gemm_strided_batched_cpu,1038.08,1016.0,0.9787299630086314,2.1732283464566793,dense_linear_algebra,cuBLAS,cublasSgemm_strided_batched_nn_zero,historical resident sweep,raised best of 20; retained native baseline
111,aten_cpu_blas_gemm_batched_cpu,1039.584,1013.024,0.9744513189891341,2.621852986701212,dense_linear_algebra,cuBLAS,cublasSgemm_strided_batched_nn_zero,historical resident sweep,raised best of 20; retained native baseline
112,aten_conv_tbc_cpu,1047.328,1372.671997,1.3106419354777108,-23.70151046361004,convolution,cuDNN,cudnnConvolutionTBC_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
113,aten_kron_impl_cpu,1100.352,5961.791992,5.4180771171406965,-81.54326750284918,tensor_product,cuTENSOR,cutensorKroneckerProduct2D_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
114,aten_kron_out_cpu,1101.76,6008.960007,5.453964572139123,-81.66471404841221,tensor_product,cuTENSOR,cutensorKroneckerProduct2D_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
115,aten_upsample_bilinear2d,1125.6,5472.800003,4.862117984186212,-79.4328314686635,resampling,cuDNN Resample,cudnnBilinearUpsample2x_f32_r4,historical resident sweep,raised best of 20; retained native baseline
116,aten_dirichlet_grad_cpu,1220.096,1156.832031,0.9481483678333508,5.468725562976751,random_distribution,cuRAND,cudnnPointwiseGraph_f32,historical resident sweep,raised best of 20; retained native baseline
117,aten_count_nonzero_impl_cpu,1222.496,5495.456009,4.495275247526372,-77.75442114361579,histogram_count,CUB,cubSegmentedCountNonzero2D_f32_tensor,current Section 4.2 campaign,minimum of 5 after 5 warmups
118,aten_transform_bias_rescale_qkv_cpu,1248.096,703.360352,0.5635466758967259,77.44759090429936,qkv_transform,cuDNN,cudnnTransformBiasRescaleQKV_f32_memref,historical resident sweep,raised best of 20; retained native baseline
119,aten_sparse_addmm_cpu,1273.248,106.304001,0.08349041270828621,1097.7423126341218,sparse_linear_algebra,cuSPARSE,cusparseSpMM_COO_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
120,aten_depthwise_conv3x3_cpu,1303.488,1603.680176,1.2302991481317818,-18.71895534362458,convolution,cuDNN,cudnnDepthwiseConvolution2D_f32_memref,historical resident sweep,raised best of 20; retained native baseline
121,aten_gamma_transform_cpu,1313.152,3251.135742,2.475825907434935,-59.609437925462046,random_distribution,cuRAND,cudnnPointwiseGraph_f32,historical resident sweep,raised best of 20; retained native baseline
122,aten_hspmm_cpu,1329.6,106.495605,0.08009597247292419,1148.5022269228857,sparse_linear_algebra,cuSPARSE,cusparseSpMM_COO_f32_memref,historical resident sweep,raised best of 20; retained native baseline
123,aten_renorm_scale_factor,1381.76,633.024002,0.4581287647637795,118.27924306731106,normalization,cuDNN,cudnnPointwiseGraph_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
124,aten_standard_gamma_grad_cpu,1394.624,887.52002,0.6363865959570465,57.1371877335229,random_distribution,cuRAND,cudnnPointwiseGraph_f32,historical resident sweep,raised best of 20; retained native baseline
125,aten_conv_tbc_backward_cpu,1398.112,9793.119995,7.0045318222002235,-85.72352834731093,convolution,cuDNN,cudnnConvolutionTBCBackward_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
126,aten_glu_backward,1405.312,1419.679993,1.0102240591413152,-1.0120585674831095,pointwise_reduction_formula,cuDNN,cudnnPointwiseGraph_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
127,aten_slow_conv3d_backward_input_cpu,1543.424,1000.671875,0.6483454157768701,54.238770825851375,indexed_data_movement,CUB,cudnnConvolutionTranspose3D_f32_memref,historical resident sweep,raised best of 20; retained native baseline
128,aten_glu_jvp,1580.576,1814.399994,1.1479359385439232,-12.887124932386884,pointwise_reduction_formula,cuDNN,cudnnPointwiseGraph_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
129,aten_conv_transpose3d_cpu,1614.784,1588.832001,0.9839285012732353,1.633401075989549,convolution,cuDNN,cudnnConvolutionTranspose3D_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
130,aten_sampled_addmm_sparse_csr_cpu,1803.584,8205.024002,4.5492885288403535,-78.01854084082666,sparse_linear_algebra,cuSPARSE,cusparseSDDMM_CSR_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
