sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,71.793533,21.534591,93.643776
1,77.329315,20.617056,98.272704
2,80.166718,21.512448,102.035264
3,76.298401,21.133440,97.764416
4,75.387871,20.567808,96.277248
5,78.687393,20.091616,99.109632
