phase,index,device_ms,e2e_ms
warmup,0,74.925155640,136.318000
warmup,1,74.817123413,81.775000
warmup,2,74.807647705,81.836000
warmup,3,74.799583435,81.735000
warmup,4,74.809890747,81.766000
sample,0,74.829246521,81.748000
sample,1,74.843841553,81.820000
sample,2,74.835037231,81.760000
sample,3,74.818206787,81.750000
sample,4,74.824607849,81.723000
