phase,index,runtime_ms
warmup,0,162.668864012
warmup,1,162.916160002
warmup,2,162.825856000
warmup,3,162.961344004
warmup,4,162.940032005
sample,0,162.902527988
sample,1,162.884735987
sample,2,162.920223996
sample,3,162.981984004
sample,4,162.972415999
