phase,index,device_ms,end_to_end_ms
warmup,0,2.332799911,62.363
warmup,1,2.135904074,8.962
warmup,2,2.149696112,8.925
warmup,3,2.132639885,8.912
warmup,4,2.141088009,9.003
sample,0,2.141664028,8.891
sample,1,2.137792110,8.884
sample,2,2.136735916,8.968
sample,3,2.130847931,8.907
sample,4,2.137023926,8.916
