run_id,implementation,timing_scope,processes,warmup,iterations,sample_0_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,median_ms,min_ms,max_ms,q1_ms,q3_ms,iqr_ms,checksum,correctness_status,publication_status
protocol_native_cpu,native_cpu,resident_host_wall,1,5,5,272.636000000,272.875168003,272.887648001,273.121567994,273.208672002,272.887648001,272.636000000,273.208672002,272.875168003,273.121567994,0.246399991,-96.026400804519653,reference,eligible_reference
protocol_raised_cpu,polygeist_nvpl_cpu,resident_host_wall,1,5,5,559.572864003,562.256511994,562.344927996,562.850752003,563.431295998,562.344927996,559.572864003,563.431295998,562.256511994,562.850752003,0.594240009,-95.943272292613983,fail_atol_1e-3_rtol_1e-4_10456_of_32000,excluded_pending_debug
protocol_raised_gpu_host,polygeist_mixed_gpu_resident,resident_synchronized_host_wall,1,5,5,12.862400000,12.830656000,12.824704000,12.823840000,12.825504000,12.825504000,12.823840000,12.862400000,12.824704000,12.830656000,0.005952000,-95.851956993341446,fail_atol_1e-3_rtol_1e-4_7922_of_32000,excluded_pending_debug
protocol_raised_gpu_device,polygeist_mixed_gpu_resident,resident_cuda_event,1,5,5,12.836288452,12.816351891,12.810720444,12.809760094,12.813055992,12.813055992,12.809760094,12.836288452,12.810720444,12.816351891,0.005631447,-95.851956993341446,fail_atol_1e-3_rtol_1e-4_7922_of_32000,backend_breakdown_excluded_pending_debug
protocol_ggml_cuda,ggml_cuda,resident_synchronized_graph_compute_wall,1,5,5,9.707000000,9.659000000,9.720000000,9.689000000,9.691000000,9.691000000,9.659000000,9.720000000,9.689000000,9.707000000,0.018000000,-95.851956993341446,pass_atol_1e-2_rtol_1e-4,eligible_expert_baseline
