kernel,vanilla_cpu_us,raised_cpu_us,raised_gpu_us,vanilla_over_raised_cpu,vanilla_over_raised_gpu,raised_cpu_over_raised_gpu,native_mfem_gpu_us,native_mfem_status,raised_gpu_over_native_mfem
convection_apply_2d,343.55200477849996,115833.3119965395,5486.991998623,0.002965917134345287,0.06261208415552945,21.110530510270237,47.296,measured; checksum PASS,116.01387006560807
convection_apply_3d,2833.616003045,1158955.232007429,34807.1359985625,0.0024449745122051758,0.0814090536826134,33.29648357323316,186.48000000000002,measured; checksum PASS,186.65345344574484
curlcurl_apply_2d,338.19200325500003,93881.26400153851,4891.3279970290005,0.0036023375574646905,0.0691411419271859,19.19341006339426,144.784,measured; checksum PASS,33.78362247920351
curlcurl_apply_3d,8463.776001008,2568061.008008953,148851.791993366,0.003295784630743668,0.05686042396711766,17.25246954449434,16961.775999999998,measured; checksum PASS,8.77571971197863
diffusion_apply_2d,438.3840059745,140091.8560029825,7362.0000039225,0.003129261175361735,0.05954686304549408,19.02904861835657,57.6,measured; checksum PASS,127.81250006809896
diffusion_apply_3d,4542.864000541,1580748.191998282,65700.0800056265,0.002873869490116701,0.06914548658315108,24.06006494760597,306.432,measured; checksum PASS,214.40345657642314
divdiv_apply_2d,337.8080000405,110725.328006083,6607.8239979105,0.003050864749047676,0.051122427011875665,16.75670054788023,144.56,measured; checksum PASS,45.709905906962504
divdiv_apply_3d,3167.8240047765,950253.4399944125,42518.912006926505,0.0033336622330934437,0.07450388204337045,22.3489594427913,974.512,measured; checksum PASS,43.63097838397732
integrate_grad_2d,125.79200847550001,93012.192002789,4861.264009378,0.0013524249430841076,0.025876399272459,19.133334832948094,44.879999999999995,measured; checksum PASS,108.31693425530304
integrate_grad_3d,1622.1279947785001,949767.7440012919,26112.4960015875,0.0017079207048500203,0.062120756080915565,36.372154693429195,174.144,measured; checksum PASS,149.94772143506236
integrate_value_2d,65.247993916,27364.528003090498,812.688005681,0.00238440048769089,0.08028664562524802,33.67162774865874,36.656,measured; checksum PASS,22.170667985623094
interp_grad_2d,202.080002055,102646.4799942915,3319.5039941345003,0.001968698800643123,0.060876565418228584,30.92223421802349,39.872,measured; checksum PASS,83.25401269398326
interp_grad_3d,2403.5200040090003,872550.288004277,20270.367997,0.0027545919553890732,0.11857308186830745,43.04560667736342,128.608,measured; checksum PASS,157.61358544569546
interp_value_2d,103.504004073,48439.7120017095,1383.3919947499999,0.0021367592786131185,0.07481899885628929,35.01517443034163,33.44,measured; checksum PASS,41.36937783343301
interp_value_3d,624.6240009205001,322990.91199820396,5576.784002187,0.0019338748482309416,0.11200433810517793,57.91705611541336,65.328,measured; checksum PASS,85.36590745449118
mass_apply_2d,227.98400459599998,74873.6960013045,2911.520001362,0.0030449145263515224,0.0783041176050138,25.716359827952004,42.367999999999995,measured; checksum PASS,68.71978855178438
mass_apply_3d,1290.8799981235002,574925.8240030031,14167.279994581,0.002245298339767666,0.09111699624891038,40.58124242782756,138.752,measured; checksum PASS,102.10505069895208
