phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,216.089050,216.070400,53.415168,336.343040,60
warmup,1,182.267426,182.258176,52.697376,235.594560,60
warmup,2,181.722244,181.712576,44.696192,227.046080,60
warmup,3,181.694458,181.682208,44.864064,227.133824,60
warmup,4,181.942459,181.932352,44.879456,227.428256,60
sample,0,181.873505,181.863776,44.890176,227.371648,60
sample,1,182.088959,182.080288,44.990849,227.683936,60
sample,2,182.746460,182.737120,44.406144,227.690144,60
sample,3,181.747070,181.738048,44.718400,227.012320,60
sample,4,182.246521,182.236864,44.110432,226.923136,60
