phase,index,device_ms,e2e_ms
warmup,0,82.557502747,146.912000
warmup,1,82.376129150,91.794000
warmup,2,82.357437134,91.280000
warmup,3,82.358108521,91.182000
warmup,4,82.338371277,91.220000
sample,0,82.349311829,91.185000
sample,1,82.401054382,91.226000
sample,2,82.377983093,91.185000
sample,3,82.361602783,91.168000
sample,4,82.369789124,91.238000
