phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,111.855965,111.839616,54.749696,233.081344,60
warmup,1,82.527138,82.514688,51.602880,134.728448,60
warmup,2,82.521667,82.510240,44.386784,127.497472,60
warmup,3,82.522591,82.513952,43.966336,127.134240,60
warmup,4,82.551811,82.541504,44.167360,127.349280,60
sample,0,82.580894,82.570944,43.953216,127.124512,60
sample,1,82.555428,82.544864,43.626816,126.788256,60
sample,2,82.528732,82.520512,43.576736,126.699552,60
sample,3,82.513443,82.504160,43.615904,126.745120,60
sample,4,82.552322,82.542912,42.804576,125.941824,60
