phase,index,device_ms,e2e_ms
warmup,0,2.467391968,61.569000
warmup,1,2.392960072,8.993000
warmup,2,2.390079975,8.840000
warmup,3,2.389888048,8.856000
warmup,4,2.387936115,8.924000
sample,0,2.388704062,8.893000
sample,1,2.388895988,8.818000
sample,2,2.385792017,8.835000
sample,3,2.391999960,8.836000
sample,4,2.387936115,8.913000
