phase,index,device_ms,end_to_end_ms
warmup,0,207.859909058,272.549
warmup,1,207.751800537,216.844
warmup,2,207.750976562,216.230
warmup,3,207.764251709,216.171
warmup,4,207.742599487,216.199
sample,0,207.771163940,216.215
sample,1,207.740417480,216.233
sample,2,207.734329224,216.179
sample,3,207.753952026,216.241
sample,4,207.763549805,216.196
