phase,index,device_ms,e2e_ms
warmup,0,322.007843018,384.003000
warmup,1,322.011749268,328.609000
warmup,2,320.394348145,325.707000
warmup,3,322.436126709,327.753000
warmup,4,320.951385498,326.278000
sample,0,321.200988770,326.502000
sample,1,322.846252441,328.183000
sample,2,321.237823486,326.549000
sample,3,322.186340332,327.541000
sample,4,321.203857422,326.491000
