sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,486.011841,64.688608,551.131232
1,476.214386,66.403296,543.001248
2,477.488617,78.156065,556.650496
3,480.413391,73.527999,554.605120
4,482.146210,77.677665,560.168288
5,476.780518,75.119008,552.932352
