kernel	status	linalg_ops	residual_loops	kernel_launches	matched_symbols
aten_sparse_csr_addmm_cpu	pass	0	3	1	cusparseSpMM_CSR_f32_memref
aten_sparse_csr_reduce_all_cpu	pass	1	0	1	cudnnReduceSum_f32
aten_sparse_csr_reduce_dim0_cpu	pass	1	2	1	memset_zero_1D_f32
aten_sparse_csr_reduce_dim1_cpu	pass	0	2	0	-
aten_sparse_dense_intersection_cpu	pass	1	0	0	-
aten_sparse_flatten_indices_cpu	pass	2	0	0	-
aten_sparse_full_coo_indices_cpu	pass	0	2	0	-
aten_sparse_intersection_apply_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_sparse_intersection_launch_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_sparse_matmul_cpu	pass	0	3	1	cusparseSpMM_CSR_f32_memref
aten_sparse_matmul_csr_to_coo_cpu	pass	0	2	1	cusparseXcsr2coo_i32_memref
aten_sparse_matmul_maxnnz_cpu	pass	0	2	0	-
aten_sparse_mul_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_sparse_norm_cpu	pass	1	0	1	cublasSnrm2_f32_memref
aten_sparse_softmax_offsets_cpu	pass	0	2	0	-
aten_sparse_softmax_pools_cpu	pass	1	0	0	-
aten_sparse_sum_backward_cpu	pass	1	0	0	-
aten_sparse_sum_cpu	pass	1	0	1	cudnnReduceSum_f32
aten_spdiags_cpu	pass	1	2	1	memset_zero_2D_f32
aten_spherical_bessel_j0	pass	1	0	0	-
aten_split_copy_cpu	pass	1	0	1	cutensorPermute_f32_r2_tensor
aten_spmm_reduce_arg_cpu	pass	0	3	0	-
aten_spmm_reduce_backward_input_arg_cpu	pass	1	2	1	memset_zero_1D_f32
aten_spmm_reduce_backward_input_cpu	pass	1	2	0	-
aten_spmm_reduce_backward_other_arg_cpu	pass	1	2	1	memset_zero_2D_f32
aten_spmm_reduce_backward_other_cpu	pass	1	3	1	memset_zero_2D_f32
aten_spmm_reduce_cpu	pass	0	3	0	-
aten_sqrt	pass	1	0	1	cutensorUnary_sqrt_f32
aten_square	pass	1	0	1	cudnnPointwiseGraph_f32
aten_sspaddmm_cpu	pass	1	2	1	cusparseSpMM_COO_f32_memref
aten_stack_serial_cpu	pass	1	0	1	cutensorPermute_f32_r3_tensor
aten_standard_gamma_grad_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_std_var_all_cpu	pass	2	0	1	cudnnReduceSum_f32
aten_std_var_cpu	pass	2	1	1	cudnnReduceSum_f32
aten_sum	pass	2	0	1	cubSegmentedSum_f64_memref
aten_sum_cpu_backend	pass	2	0	1	cubSegmentedSum_f32_memref
aten_sumproduct_pair_cpu	pass	2	0	1	cublasSgemm_strided_batched_nn_zero
aten_take_cpu	pass	1	0	0	-
aten_tan	pass	1	0	1	cutensorUnary_tan_f32
aten_tanh	pass	1	0	1	cutensorUnary_tanh_f32
aten_tanh_backward	pass	1	0	1	cudnnPointwiseGraph_f32
aten_threshold_backward	pass	1	0	1	cudnnPointwiseGraph_f32
aten_topk_cpu	pass	4	3	1	cudaCopy2D_f32_tensor
aten_trace_cpu	pass	1	0	1	cudnnReduceTrace_f32
aten_transform_bias_rescale_qkv_cpu	pass	3	0	1	cudnnTransformBiasRescaleQKV_f32_memref
aten_transpose_copy	pass	1	0	1	cutensorPermute_f32_r2_tensor
aten_trigamma	pass	1	0	0	-
aten_tril_indices_cpu	pass	0	2	0	-
aten_trilinear_cpu	pass	2	0	1	cutensornetNetwork_f32_n3_aten
aten_triu_indices_cpu	pass	0	2	0	-
aten_triu_mask_cpu	pass	1	0	0	-
aten_triu_tril_batch_cpu	pass	1	0	0	-
aten_triu_tril_single_cpu	pass	1	0	0	-
aten_trunc	pass	1	0	1	cudnnPointwiseGraph_f32
aten_unbind_copy_cpu	pass	1	0	1	cudaCopy2D_f32_tensor
aten_unfold3d_acc_cpu	pass	1	0	0	-
aten_unfold3d_copy_cpu	pass	1	0	0	-
aten_unfold3d_zero_acc_cpu	pass	0	8	0	-
aten_unfold3d_zero_copy_cpu	pass	1	0	0	-
aten_unfold_backward_cpu	pass	2	0	1	memset_zero_1D_f32
aten_unfolded2d_acc_cpu	pass	2	0	0	-
aten_unfolded2d_copy_cpu	pass	1	0	1	cutensorPermute_f32_r5_tensor
aten_uniform_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_unique_bool_cpu	pass	0	1	0	-
aten_unique_consecutive_cpu	pass	0	1	0	-
aten_unique_dim_impl_cpu	pass	3	1	0	-
aten_unique_dim_template_cpu	pass	3	1	0	-
aten_unique_sorted_cpu	pass	0	3	0	-
aten_unpack_pivots_cpu	pass	1	1	0	-
aten_unsafe_index_cpu	pass	1	0	0	-
aten_upper_bound_cpu	pass	0	2	0	-
aten_upsample_bicubic2d_aa_backward_cpu	pass	3	3	1	memset_zero_1D_f32
aten_upsample_bicubic2d_aa_cpu	pass	2	3	0	-
aten_upsample_bicubic2d_backward_cpu	pass	1	2	1	memset_zero_1D_f32
aten_upsample_bicubic2d_cpu	pass	0	5	0	-
aten_upsample_bilinear2d	pass	1	0	1	cudnnBilinearUpsample2x_f32_r4
aten_upsample_bilinear2d_aa_backward_cpu	pass	3	3	1	memset_zero_1D_f32
aten_upsample_bilinear2d_aa_cpu	pass	2	3	0	-
aten_upsample_bilinear2d_backward_cpu	pass	1	3	1	memset_zero_1D_f32
aten_upsample_bilinear2d_cpu	pass	1	0	0	-
aten_upsample_lanczos2d_aa_backward_cpu	pass	3	3	1	memset_zero_1D_f32
aten_upsample_lanczos2d_aa_cpu	pass	2	3	0	-
aten_upsample_linear1d_backward_cpu	pass	1	2	1	memset_zero_1D_f32
aten_upsample_linear1d_cpu	pass	1	0	0	-
aten_upsample_nearest1d_backward_cpu	pass	1	2	1	memset_zero_1D_f32
aten_upsample_nearest1d_cpu	pass	1	0	0	-
aten_upsample_nearest2d	pass	1	0	0	-
aten_upsample_nearest2d_backward_cpu	pass	1	3	1	memset_zero_1D_f32
aten_upsample_nearest2d_cpu	pass	1	0	0	-
aten_upsample_nearest3d_backward_cpu	pass	1	4	1	memset_zero_1D_f32
aten_upsample_nearest3d_cpu	pass	1	0	0	-
aten_upsample_nearest_exact1d_backward_cpu	pass	1	2	1	memset_zero_1D_f32
aten_upsample_nearest_exact1d_cpu	pass	1	0	0	-
aten_upsample_nearest_exact2d_backward_cpu	pass	1	3	1	memset_zero_1D_f32
aten_upsample_nearest_exact2d_cpu	pass	1	0	0	-
aten_upsample_nearest_exact3d_backward_cpu	pass	1	4	1	memset_zero_1D_f32
aten_upsample_nearest_exact3d_cpu	pass	1	0	0	-
aten_upsample_trilinear3d_backward_cpu	pass	1	4	1	memset_zero_1D_f32
aten_upsample_trilinear3d_cpu	pass	1	0	0	-
aten_vector_norm_out_cpu	pass	3	0	2	cutensorUnary_sqrt_f32,memset_zero_1D_f32
aten_weight_norm_backward_cpu	pass	2	1	1	cublasSdot
aten_weight_norm_cpu	pass	2	1	0	-
aten_weight_to_int4pack_cpu	pass	0	2	0	-
aten_where_cpu	pass	1	0	0	-
aten_xlog1py	pass	1	0	0	-
aten_xlogy	pass	1	0	0	-
aten_xor_sum_cpu	pass	2	0	1	cubSegmentedBitXor_i32
aten_zeros_cpu	pass	1	0	1	memset_zero_1D_f32
aten_zeta	pass	1	0	0	-
