kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_batch_norm_transform_cpu,487.104,PASS,torch_resident_us,sync_wall,N=32_C=64_H=64_W=64,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_batch_norm_transform_cpu torch_resident_us=487.104 timing=sync_wall shape='N=32_C=64_H=64_W=64'
aten_binary_cross_entropy,800.128,PASS,torch_resident_us,sync_wall,N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_binary_cross_entropy torch_resident_us=800.128 timing=sync_wall shape='N=8388608'
aten_bmm,782.208,PASS,torch_resident_us,sync_wall,BATCH=70_K=282_M=141_N=211,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_bmm torch_resident_us=782.208 timing=sync_wall shape='BATCH=70_K=282_M=141_N=211'
aten_cat_serial_cpu,301.728,PASS,torch_resident_us,sync_wall,K=3096_M=581_R=774,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cat_serial_cpu torch_resident_us=301.728 timing=sync_wall shape='K=3096_M=581_R=774'
aten_cat_sparse_cpu,385.568,PASS,torch_resident_us,sync_wall,B=256_N=16383,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cat_sparse_cpu torch_resident_us=385.568 timing=sync_wall shape='B=256_N=16383'
aten_ceil,224.352,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_ceil torch_resident_us=224.352 timing=sync_wall shape='N=4194304'
aten_conv2d,393.504,PASS,torch_resident_us,sync_wall,B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_conv2d torch_resident_us=393.504 timing=sync_wall shape='B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3'
aten_conv2d_columns_cpu,239.232,PASS,torch_resident_us,sync_wall,C=11_H=59_K=11_W=59,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_conv2d_columns_cpu torch_resident_us=239.232 timing=sync_wall shape='C=11_H=59_K=11_W=59'
aten_conv3d,150127.648,PASS,torch_resident_us,sync_wall,B=6_D=37_H=37_IC=12_K=19_OC=19_W=37,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_conv3d torch_resident_us=150127.648 timing=sync_wall shape='B=6_D=37_H=37_IC=12_K=19_OC=19_W=37'
aten_conv_transpose2d,484.064,PASS,torch_resident_us,sync_wall,B=2_IC=16_OC=32_H=128_W=128_K=3,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_conv_transpose2d torch_resident_us=484.064 timing=sync_wall shape='B=2_IC=16_OC=32_H=128_W=128_K=3'
aten_cos,227.744,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cos torch_resident_us=227.744 timing=sync_wall shape='N=4194304'
aten_cosh,226.848,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cosh torch_resident_us=226.848 timing=sync_wall shape='N=4194304'
aten_count_nonzero_cpu,1166.080,PASS,torch_resident_us,sync_wall,N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_count_nonzero_cpu torch_resident_us=1166.080 timing=sync_wall shape='N=8388608'
aten_count_nonzero_impl_cpu,1208.416,PASS,torch_resident_us,sync_wall,R=131072_C=64,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_count_nonzero_impl_cpu torch_resident_us=1208.416 timing=sync_wall shape='R=131072_C=64'
aten_cumprod_backward_cpu,1569.344,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cumprod_backward_cpu torch_resident_us=1569.344 timing=sync_wall shape='N=4194304'
aten_cumprod_cpu,328.800,PASS,torch_resident_us,sync_wall,K=2897_R=1448,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cumprod_cpu torch_resident_us=328.800 timing=sync_wall shape='K=2897_R=1448'
