kernel,native_device_us,source,method,shape,hardware,date
aten_trunc,206.976,torch.trunc (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_lgamma,205.312,torch.lgamma (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_digamma,419.008,torch.digamma (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_i0,212.704,torch.i0 (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_sinc,376.448,torch.sinc shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_gelu,380.128,torch.gelu shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_relu,208.448,torch.relu (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_silu,207.680,torch.silu (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_mish,381.344,torch.mish shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_softplus,378.784,torch.softplus shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608 beta=1.25 threshold=0.5,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_elu,210.560,torch.elu shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_selu,208.736,torch.selu (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_hardswish,210.432,torch.hardswish (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_hardsigmoid,208.480,torch.hardsigmoid (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_leaky_relu,212.960,torch.leaky_relu shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_softsign,662.624,torch.softsign (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_tanhshrink,475.296,torch.tanhshrink (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logit,207.328,torch.logit (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_signbit,137.792,torch.signbit (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_isnan,139.488,torch.isnan (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_isinf,325.344,torch.isinf (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_isfinite,506.944,torch.isfinite (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_deg2rad,213.408,torch.deg2rad (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_rad2deg,215.040,torch.rad2deg (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_positive,20.544,torch.positive (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_add,556.352,torch.add shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B32 C64 H64 W64,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_sub,294.976,torch.sub (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_mul,291.712,torch.mul shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_div,294.016,torch.div shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_atan2,294.464,torch.atan2 (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_hypot,292.288,torch.hypot shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_pow,293.440,torch.pow shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_fmod,295.104,torch.fmod (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_remainder,295.104,torch.remainder (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_maximum,294.688,torch.maximum (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_minimum,294.496,torch.minimum (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_copysign,294.208,torch.copysign (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_nextafter,294.880,torch.nextafter (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logaddexp,292.704,torch.logaddexp shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logaddexp2,292.384,torch.logaddexp2 shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_xlogy,295.072,torch.xlogy (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_gt,225.280,torch.gt (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_lt,226.304,torch.lt (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_le,225.120,torch.le (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_ge,224.960,torch.ge (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_eq,224.672,torch.eq (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_ne,225.152,torch.ne (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_floor_divide,297.472,torch.floor_divide (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_true_divide,294.496,torch.true_divide (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logical_and,229.152,torch.logical_and (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logical_or,229.056,torch.logical_or (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logical_xor,229.472,torch.logical_xor (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_heaviside,294.720,torch.heaviside (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_gcd,719.552,torch.gcd (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_lcm,718.048,torch.lcm (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_sum,140.160,torch.sum (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_mean,140.032,torch.mean (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_prod,140.992,torch.prod (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_max_all,142.368,torch.max_all (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_min_all,141.248,torch.min_all (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_argmax,145.856,torch.argmax (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_argmin,144.288,torch.argmin (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_norm,148.064,torch.norm (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_std,176.512,torch.std (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_var,176.512,torch.var (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_nansum,140.576,torch.nansum (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_logsumexp,660.576,torch.logsumexp (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_count_nonzero,599.680,torch.count_nonzero (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_all,140.416,torch.all (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_any,140.480,torch.any (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_median,3132.096,torch.median (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cumsum,450.016,torch.cumsum shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cumprod,245.216,torch.cumprod (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cummax,18033.567,torch.cummax (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cummin,18031.168,torch.cummin (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_sort,3113.344,torch.sort (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_argsort,3120.608,torch.argsort (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_unique,1510.816,torch.unique (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_topk,1096.000,torch.topk (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_kthvalue,31324.575,torch.kthvalue (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_mode,4352.128,torch.mode (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_dot,426.304,torch.dot shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_tril,185.760,torch.tril (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_triu,185.376,torch.triu (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_diag,76.512,torch.diag (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_flip,225.440,torch.flip (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_roll,322.496,torch.roll (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cat,400.704,torch.cat (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_gather,299.616,torch.gather (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_index_select,345.504,torch.index_select (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_take,299.424,torch.take (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_bincount,896.864,torch.bincount (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_scatter_add,959.840,torch.scatter_add (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_index_add,1071.040,torch.index_add (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_searchsorted,741.504,torch.searchsorted (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
