kernel,shape,recipe,cpu_orin_12thread_us,native_gpu_us,raised_gpu_us,cpu_over_native_gpu,native_gpu_over_raised_gpu,cpu_samples,native_gpu_samples,raised_gpu_samples,cpu_errors,native_gpu_errors,raised_gpu_errors,comparison_status,protocol
aten_clamp_cpu,N=4194304,3cd8e32878aada7c,1451.712000,418.784000,1136.544006,3.466493,0.368471,"1446.368000,1451.712000,1471.680000,1460.032000,1432.480000","420.224000,416.640000,419.104000,418.784000,411.808000","1141.760010,1134.591995,1134.879990,1136.544006,1144.992004",0,0,0,ALIGNED,"same fixed C fixture shape/scalars/inputs; one process; 5 warmups; median of 5 wall samples; GPU synchronized"
aten_clamp_max_scalar_cpu,N=4194304,20afe51bff9319b3,420.480000,230.496000,636.832001,1.824240,0.361940,"401.216000,448.768000,435.808000,420.480000,412.320000","239.456000,230.496000,226.464000,233.504000,226.720000","636.992004,646.304001,635.007996,635.360001,636.832001",0,0,0,ALIGNED,"same fixed C fixture shape/scalars/inputs; one process; 5 warmups; median of 5 wall samples; GPU synchronized"
aten_clamp_min_scalar_cpu,N=4194304,79cad4471d373dda,1395.552000,223.936000,636.288010,6.231923,0.351936,"1435.040000,1372.832000,1367.744000,1511.776000,1395.552000","225.600000,222.144000,223.680000,227.232000,223.936000","635.776001,639.199997,636.288010,636.351990,635.552002",0,0,0,ALIGNED,"same fixed C fixture shape/scalars/inputs; one process; 5 warmups; median of 5 wall samples; GPU synchronized"
aten_clamp_scalar_cpu,N=4194304,a5b7d49626a84340,1291.712000,225.888000,642.080002,5.718374,0.351805,"1336.896000,1295.296000,1279.872000,1291.712000,1291.552000","228.288000,225.888000,224.288000,227.168000,225.536000","642.560013,635.904007,642.080002,647.199997,637.216003",0,0,0,ALIGNED,"same fixed C fixture shape/scalars/inputs; one process; 5 warmups; median of 5 wall samples; GPU synchronized"
aten_masked_scale,N=4194304,f023c7dce84c90d0,912.608000,426.816000,638.272003,2.138177,0.668706,"907.456000,904.736000,949.120000,983.104000,912.608000","431.584000,426.816000,430.080000,425.408000,424.288000","640.608002,641.824005,637.248001,638.272003,633.439987",0,0,0,ALIGNED,"same fixed C fixture shape/scalars/inputs; one process; 5 warmups; median of 5 wall samples; GPU synchronized"
