kernel,native_aten_resident_us,min_us,max_us,iqr_us,errors,max_error,shape,recipe,samples,device,protocol
aten_channel_shuffle_cpu,472.960000,472.032000,478.464000,3.568000,0,0,B=17_CPG=26_G=34_S=276,9c0f4efa20ff5874,"478.464000,472.800000,472.032000,473.504000,472.960000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_convert_coo_to_csr_cpu,338.944000,330.752000,349.024000,12.672000,0,0,N=4194304_R=65536,88b6f49f4ce53c69,"349.024000,341.312000,334.240000,330.752000,338.944000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_sparse_coo_to_csr_cpu,324.896000,324.416000,328.704000,3.680000,0,0,N=4194304_R=65536,4cda79027c69d4df,"327.872000,324.416000,324.896000,324.800000,328.704000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_compressed_block_convert_cpu,263.680000,260.192000,268.288000,5.472000,0,0,R=2048_C=2048_BR=4_BC=4,5d2934fd76b7e9c2,"260.192000,260.864000,268.288000,263.680000,263.712000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_kron_impl_cpu,1101.888000,1098.176000,1160.288000,31.184000,0,0,A=256_B=128_C=32_D=32,71b58bc9f4730368,"1160.288000,1101.952000,1101.888000,1101.696000,1098.176000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_nested_clone_cpu,224.192000,221.248000,230.688000,7.600000,0,0,B=724_N=5793,fe71788a5bee6f5d,"221.248000,227.680000,221.920000,224.192000,230.688000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_cpu_blas_gemm_cpu,3761.024000,3757.472000,3765.216000,7.536000,0,0,K=2290_M=1374_N=1832,acf1ac1e761ae7e6,"3764.928000,3761.024000,3765.216000,3757.472000,3757.600000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_cpu_blas_gemm_batched_cpu,1026.560000,1024.416000,1028.672000,2.848000,0,0,B=52_K=311_M=208_N=259,57f08d687ae9d16b,"1027.424000,1026.560000,1028.672000,1025.984000,1024.416000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_cpu_blas_gemm_strided_batched_cpu,1025.120000,1023.424000,1027.264000,2.720000,0,0,B=52_K=311_M=208_N=259,eb3e1fa75831476a,"1027.264000,1025.120000,1025.888000,1024.288000,1023.424000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_nested_squeeze_cpu,226.752000,224.320000,231.136000,4.624000,0,0,B=724_N=5793,f6aafb8065321582,"227.552000,226.752000,224.320000,225.120000,231.136000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_stack_serial_cpu,260.000000,257.088000,263.648000,5.056000,0,0,K=405_R=203_T=51,b4586baaae66626e,"257.088000,261.728000,263.648000,260.000000,258.176000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_flatten_nd_linear_cpu,724.608000,722.048000,727.200000,3.888000,0,0,B=80_K=322_M=161_N=241,0b73d0504d7a7d38,"724.608000,725.984000,727.200000,722.048000,723.360000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_nested_bmm_cpu,870.464000,870.016000,873.120000,2.256000,0,0,B=83_K=248_M=165_N=206,052a884874109c4d,"871.616000,870.016000,873.120000,870.208000,870.464000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_nested_matmul_broadcast_cpu,725.056000,723.296000,730.272000,4.192000,0,0,B=89_K=266_M=178_N=222,7a9f8d11436e5a37,"726.432000,723.296000,730.272000,725.024000,725.056000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_kron_out_cpu,1104.256000,1098.112000,1110.528000,7.936000,0,0,A=256_B=128_C=32_D=32,7607a09d96787dbe,"1110.528000,1104.256000,1102.912000,1106.368000,1098.112000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_sparse_norm_cpu,106.368000,105.344000,110.912000,3.664000,0,0.00012207,N=2097152,2ed1a182be1a2c6b,"106.368000,110.912000,105.344000,107.776000,106.016000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_sumproduct_pair_cpu,858.752000,856.832000,860.992000,3.648000,0,0,B=70_K=282_M=141_N=211,b1d208ea182a8abc,"860.480000,858.752000,860.992000,856.832000,857.344000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_nested_all_cpu,410.112000,406.304000,413.728000,6.976000,0,0,B=724_N=5793,39273232cbbc40e2,"413.728000,406.304000,412.928000,410.112000,406.400000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_nested_sum_dim_cpu,551.360000,549.280000,553.824000,2.928000,0,0,B=724_N=5793,132e688af89d8697,"551.360000,549.280000,550.720000,552.032000,553.824000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_batch_norm,282.336000,274.240000,284.960000,6.976000,0,2.38419e-07,B=11_C=46_H=92_W=92,7293a8afa214b89c,"280.064000,283.296000,284.960000,282.336000,274.240000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_dot,450.560000,446.080000,455.008000,5.536000,0,1.77068e-05,N=4194304,8c6fe94db11fec1a,"452.320000,455.008000,446.080000,450.176000,450.560000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_sparse_addmv_csr_cpu,339.296000,335.936000,339.424000,1.920000,0,1.52588e-05,R=65536_C=65536_N=4194304,29b9ab46cce946f3,"339.424000,339.296000,339.360000,335.936000,339.008000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
