kernel,base_op,status
aten_eye_cpu,eye,covered
aten_fft_conjugate_symmetry_cpu,fft_conjugate_symmetry,covered
aten_fftshift_cpu,fftshift,covered
aten_fill,fill,covered
aten_fill_diagonal_cpu,fill_diagonal,covered
aten_flatten_indices_launch_cpu,flatten_indices_launch,missing
aten_floor,floor,covered
aten_fmax,fmax,covered
aten_fmin,fmin,covered
aten_fmod,fmod,covered
aten_frac,frac,covered
aten_fractional_max_pool2d_backward_cpu,fractional_max_pool2d,covered
aten_fractional_max_pool2d_cpu,fractional_max_pool2d,covered
aten_fractional_max_pool3d_backward_cpu,fractional_max_pool3d,covered
aten_fractional_max_pool3d_cpu,fractional_max_pool3d,covered
aten_fused_adagrad_cpu,fused_adagrad,covered
aten_fused_adam_cpu,fused_adam,covered
aten_fused_sgd_cpu,fused_sgd,covered
aten_gamma_transform_cpu,gamma,covered
aten_gather_cpu,gather,covered
aten_gather_expanded_index_cpu,gather_expanded_index,covered
aten_gcd_i32,gcd_i32,covered
aten_ge,ge,covered
aten_gelu,gelu,covered
aten_gelu_backward_cpu_exact,gelu_backward_cpu_exact,covered
aten_gelu_backward_cpu_tanh,gelu_backward_cpu_tanh,covered
aten_gelu_cpu_exact,gelu_cpu_exact,covered
aten_gelu_cpu_tanh,gelu_cpu_tanh,covered
aten_geometric_cpu,geometric,covered
aten_glu,glu,covered
aten_glu_backward,glu,covered
aten_glu_jvp,glu_jvp,covered
aten_gradient_cpu,gradient,missing
aten_grid_sampler_2d_backward_cpu,grid_sampler_2d,covered
aten_grid_sampler_2d_cpu,grid_sampler_2d,covered
aten_grid_sampler_2d_fallback_cpu,grid_sampler_2d_fallback,covered
aten_grid_sampler_2d_quantized_cpu,grid_sampler_2d_quantized,covered
aten_grid_sampler_3d_backward_cpu,grid_sampler_3d,covered
aten_grid_sampler_3d_cpu,grid_sampler_3d,covered
aten_group_norm_backward_cpu,group_norm,covered
aten_group_norm_cpu,group_norm,covered
aten_gt,gt,covered
aten_hardshrink,hardshrink,covered
aten_hardsigmoid,hardsigmoid,covered
aten_hardsigmoid_backward,hardsigmoid,covered
aten_hardswish,hardswish,covered
aten_hardswish_backward,hardswish,covered
aten_hardtanh,hardtanh,covered
aten_hardtanh_backward,hardtanh,covered
aten_heaviside,heaviside,covered
aten_hermite_polynomial_h,hermite_polynomial_h,covered
aten_hermite_polynomial_he,hermite_polynomial_he,covered
aten_host_softmax_backward_cpu,host_softmax,covered
aten_host_softmax_cpu,host_softmax,covered
aten_hspmm_cpu,hspmm,covered
aten_huber_backward,huber,covered
aten_huber_elementwise,huber_elementwise,covered
aten_hypot,hypot,covered
aten_i0,i0,covered
aten_ifftshift_cpu,ifftshift,covered
aten_igamma,igamma,covered
aten_igammac,igammac,covered
aten_im2col,im2col,covered
aten_index_copy_cpu,index_copy,covered
aten_index_cpu,index,covered
aten_index_fill_cpu,index_fill,covered
aten_index_put_cpu,index_put,covered
aten_index_put_impl_cpu,index_put,covered
aten_index_reduce_impl_cpu,index_reduce,covered
aten_index_select_dim1_cpu,index_select_dim1,covered
aten_index_select_out_cpu,index,covered
aten_index_select_sparse_cpu,index_select_sparse,covered
aten_int4pack_mm_cpu,int4pack_mm,covered
aten_int8pack_mm_cpu,int8pack_mm,covered
aten_int_mm_out_cpu,int_mm,covered
aten_isin_default_cpu,isin_default,covered
aten_isneginf,isneginf,covered
aten_isposinf,isposinf,covered
aten_jagged_to_padded_cpu,jagged_to_padded,covered
aten_kaiser_window,kaiser_window,covered
aten_kthvalue_cpu,kthvalue,missing
aten_laguerre_polynomial_l,laguerre_polynomial_l,covered
aten_layer_norm,layer_norm,covered
aten_layer_norm_backward_cpu,layer_norm,covered
aten_layer_norm_cpu_backend,layer_norm_cpu_backend,covered
aten_lcm_i32,lcm_i32,covered
aten_ldexp,ldexp,covered
aten_le,le,covered
aten_leaky_relu,leaky_relu,covered
aten_legendre_polynomial_p,legendre_polynomial_p,covered
aten_lerp,lerp,covered
aten_lerp_scalar,lerp,covered
aten_lerp_scalar_cpu,lerp,covered
aten_lerp_tensor_cpu,lerp,covered
aten_lgamma,lgamma,covered
aten_linalg_powsum_cpu,linalg_powsum,covered
aten_linear_combination_cpu,linear_combination,covered
aten_linspace,linspace,covered
aten_log,log,covered
aten_log10,log10,covered
aten_log1p,log1p,covered
aten_log2,log2,covered
aten_log_ndtr,log_ndtr,covered
aten_log_normal_cpu,log_normal,covered
aten_log_sigmoid_backward_cpu,log_sigmoid,covered
aten_log_sigmoid_cpu,log_sigmoid,covered
aten_logaddexp,logaddexp,covered
aten_logaddexp2,logaddexp2,covered
aten_logcumsumexp_cpu,logcumsumexp,covered
aten_logical_and,logical_and,covered
aten_logical_not_f32,logical_not_f32,covered
aten_logical_or,logical_or,covered
aten_logical_xor,logical_xor,covered
aten_logit,logit,covered
aten_logit_backward,logit,covered
aten_logspace_cpu,logspace,covered
aten_lower_bound_cpu,lower_bound,missing
aten_lshift_i32,lshift_i32,covered
aten_lt,lt,covered
aten_masked_fill_cpu,masked_fill,covered
aten_masked_scale,masked_scale,covered
aten_masked_scatter_backward_cpu,masked_scatter,covered
aten_masked_scatter_cpu,masked_scatter,covered
aten_masked_select_cpu,masked,covered
aten_masked_select_serial_cpu,masked,covered
aten_max_all_cpu,max_all,covered
aten_max_pool2d,max_pool2d,covered
aten_max_pool3d_backward_cpu,max_pool3d,covered
aten_max_pool3d_cpu,max_pool3d,covered
aten_max_reduce_cpu,max_reduce,missing
aten_max_unpool2d_cpu,max_unpool2d,missing
aten_max_unpool3d_cpu,max_unpool3d,missing
aten_max_unpool_backward_cpu,max_unpool,missing
aten_max_values_cpu,max_values,missing
aten_maximum,maximum,covered
aten_mean,mean,covered
aten_median_indices_cpu,median_indices,missing
aten_min_all_cpu,min_all,covered
aten_min_reduce_cpu,min_reduce,missing
aten_min_values_cpu,min_values,missing
aten_minimum,minimum,covered
aten_mish,mish,covered
aten_mish_backward,mish,covered
aten_mm,mm,covered
aten_mode_cpu,mode,missing
aten_modified_bessel_i0,modified_bessel_i0,covered
aten_modified_bessel_i1,modified_bessel_i1,covered
aten_modified_bessel_k0,modified_bessel_k0,covered
aten_modified_bessel_k1,modified_bessel_k1,covered
aten_mse_backward,mse,covered
aten_mse_elementwise,mse_elementwise,covered
aten_mse_loss,mse_loss,covered
aten_mul,mul,covered
aten_multi_margin_loss_backward_cpu,multi_margin_loss,covered
aten_multi_margin_loss_cpu,multi_margin_loss,covered
aten_multilabel_margin_loss_backward_cpu,multilabel_margin_loss,covered
aten_multilabel_margin_loss_forward_cpu,multilabel_margin_loss,covered
aten_multinomial_with_replacement_cpu,multinomial_with_replacement,covered
aten_mv,mv,covered
aten_nan_to_num,nan_to_num,covered
aten_nansum_cpu,nansum,covered
aten_narrow_copy_dense_cpu,narrow_copy_dense,covered
aten_ndtri,ndtri,covered
aten_ne,ne,covered
aten_neg,neg,covered
aten_nested_clone_cpu,nested_clone,covered
aten_nested_matmul_broadcast_cpu,nested_matmul_broadcast,covered
aten_nested_select_cpu,nested,covered
aten_nested_softmax_cpu,nested_softmax,covered
aten_nested_squeeze_cpu,nested_squeeze,covered
aten_nextafter,nextafter,covered
aten_nll_loss2d_backward_cpu,nll_loss2d,covered
aten_nll_loss2d_forward_cpu,nll_loss2d,covered
aten_nll_loss_backward_cpu,nll_loss,covered
aten_nll_loss_forward_cpu,nll_loss,covered
aten_nonzero_out_cpu,nonzero,missing
aten_norm_cpu,norm,covered
aten_normal_cpu,normal,covered
aten_or_reduce_cpu,or_reduce,missing
aten_outer,outer,missing
aten_padded_to_jagged_cpu,padded_to_jagged,covered
aten_pdist_backward_cpu,pdist,covered
aten_pdist_forward_cpu,pdist,covered
aten_permute_sparse_coo_cpu,permute_sparse_coo,missing
aten_pixel_shuffle,pixel_shuffle,covered
aten_pixel_shuffle_cpu_backend,pixel_shuffle_cpu_backend,covered
aten_pixel_unshuffle_cpu_backend,pixel_unshuffle_cpu_backend,covered
aten_poisson_transform_cpu,poisson,covered
aten_polar_scalarized,polar,covered
aten_polygamma,polygamma,covered
aten_pow,pow,covered
aten_pow_tensor_scalar,pow,covered
aten_powsum_cpu,powsum,covered
aten_prod,prod,covered
aten_put_cpu,put,missing
aten_random_cpu,random,missing
aten_random_from_to_cpu,random,missing
aten_random_full_64_bits_range_cpu,random,missing
aten_randperm_cpu,randperm,missing
aten_range_out_cpu,range,covered
aten_reciprocal,reciprocal,covered
aten_reflection_pad1d_backward_cpu,reflection_pad1d,covered
aten_reflection_pad1d_cpu,reflection_pad1d,covered
aten_reflection_pad2d,reflection_pad2d,covered
aten_reflection_pad2d_backward_cpu,reflection_pad2d,covered
aten_reflection_pad2d_cpu,reflection_pad2d,covered
aten_reflection_pad3d_backward_cpu,reflection_pad3d,covered
aten_reflection_pad3d_cpu,reflection_pad3d,covered
aten_relu,relu,covered
aten_remainder,remainder,covered
aten_renorm_scale_factor,renorm_scale_factor,covered
aten_repeat_compute_cpu,repeat_compute,covered
aten_repeat_tensor_shape_cpu,repeat_tensor_shape,covered
aten_replication_pad1d_backward_cpu,replication_pad1d,covered
aten_replication_pad1d_cpu,replication_pad1d,covered
aten_replication_pad2d,replication_pad2d,covered
aten_replication_pad2d_backward_cpu,replication_pad2d,covered
aten_replication_pad2d_cpu,replication_pad2d,covered
aten_replication_pad3d_backward_cpu,replication_pad3d,covered
aten_replication_pad3d_cpu,replication_pad3d,covered
aten_rms_norm,rms_norm,covered
aten_round,round,covered
aten_round_decimals,round_decimals,covered
aten_rshift_i32,rshift_i32,missing
aten_rsqrt,rsqrt,covered
aten_scaled_modified_bessel_k0,scaled_modified_bessel_k0,covered
aten_scaled_modified_bessel_k1,scaled_modified_bessel_k1,covered
aten_scatter_add_cpu,scatter_add,covered
aten_scatter_add_expanded_index_cpu,scatter_add_expanded_index,covered
aten_scatter_cpu,scatter,covered
aten_scatter_fill_cpu,scatter_fill,covered
aten_scatter_reduce_cpu,scatter_reduce,covered
aten_scatter_reduce_expanded_index_cpu,scatter_reduce_expanded_index,covered
aten_scatter_reduce_two_cpu,scatter_reduce_two,covered
aten_scatter_scalar_reduce_cpu,scatter_scalar_reduce,covered
aten_searchsorted_cpu,searchsorted,covered
aten_segment_reduce_lengths_backward_cpu,segment_reduce_lengths,covered
aten_segment_reduce_lengths_cpu,segment_reduce_lengths,covered
aten_sgn_complex_scalarized,sgn_complex,covered
aten_shrink_backward,shrink,covered
aten_sigmoid,sigmoid,covered
aten_sigmoid_backward,sigmoid,covered
aten_sign,sign,covered
aten_signbit,signbit,covered
aten_silu,silu,covered
aten_silu_backward,silu,covered
aten_silu_cpu,silu,covered
aten_sin,sin,covered
aten_sinc,sinc,covered
aten_sinh,sinh,covered
aten_smooth_l1_backward,smooth_l1,covered
aten_smooth_l1_elementwise,smooth_l1_elementwise,covered
aten_softmax,softmax,covered
aten_softplus,softplus,covered
aten_softplus_backward,softplus,covered
aten_softshrink,softshrink,covered
aten_sort_cpu,sort,covered
aten_sparse_add_values_cpu,sparse_add_values,covered
aten_sparse_addmv_bsr_cpu,sparse_addmv_bsr,covered
