kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_sparse_mul_cpu,6511.227,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_mul_cpu torch_cpu_us=6511.227 timing=sync_wall shape='N=4194304'
aten_sparse_sum_cpu,5299.032,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_sum_cpu torch_cpu_us=5299.032 timing=sync_wall shape='N=4194304'
aten_split_copy_cpu,24050.545,PASS,torch_cpu_us,sync_wall,N=4194304_S=4,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_split_copy_cpu torch_cpu_us=24050.545 timing=sync_wall shape='N=4194304_S=4'
aten_sqrt,7353.466,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sqrt torch_cpu_us=7353.466 timing=sync_wall shape='N=4194304'
aten_square,5325.346,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_square torch_cpu_us=5325.346 timing=sync_wall shape='N=4194304'
aten_sum,11501.703,PASS,torch_cpu_us,sync_wall,M=65536_N=64,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sum torch_cpu_us=11501.703 timing=sync_wall shape='M=65536_N=64'
aten_tan,6094.848,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_tan torch_cpu_us=6094.848 timing=sync_wall shape='N=4194304'
aten_tanh,6116.298,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_tanh torch_cpu_us=6116.298 timing=sync_wall shape='N=4194304'
aten_tanh_backward,5745.097,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_tanh_backward torch_cpu_us=5745.097 timing=sync_wall shape='N=4194304'
aten_topk_cpu,5734.798,PASS,torch_cpu_us,sync_wall,K=4095_R=1024_TOP=512,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_topk_cpu torch_cpu_us=5734.798 timing=sync_wall shape='K=4095_R=1024_TOP=512'
aten_vector_norm_out_cpu,800.304,PASS,torch_cpu_us,sync_wall,C=2897_R=1448,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_vector_norm_out_cpu torch_cpu_us=800.304 timing=sync_wall shape='C=2897_R=1448'
aten_weight_norm_backward_cpu,6075.176,PASS,torch_cpu_us,sync_wall,C=1024_S=4095,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_weight_norm_backward_cpu torch_cpu_us=6075.176 timing=sync_wall shape='C=1024_S=4095'
