kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_binary_cross_entropy,38022.395,PASS,torch_cpu_us,sync_wall,N=8388608,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_binary_cross_entropy torch_cpu_us=38022.395 timing=sync_wall shape='N=8388608'
aten_bmm,7231.000,PASS,torch_cpu_us,sync_wall,BATCH=70_K=282_M=141_N=211,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_bmm torch_cpu_us=7231.000 timing=sync_wall shape='BATCH=70_K=282_M=141_N=211'
aten_cat_serial_cpu,12924.363,PASS,torch_cpu_us,sync_wall,K=3096_M=581_R=774,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cat_serial_cpu torch_cpu_us=12924.363 timing=sync_wall shape='K=3096_M=581_R=774'
aten_cat_sparse_cpu,4308.111,PASS,torch_cpu_us,sync_wall,B=256_N=16383,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cat_sparse_cpu torch_cpu_us=4308.111 timing=sync_wall shape='B=256_N=16383'
aten_ceil,4208.288,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_ceil torch_cpu_us=4208.288 timing=sync_wall shape='N=4194304'
aten_conv2d,28706.576,PASS,torch_cpu_us,sync_wall,B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_conv2d torch_cpu_us=28706.576 timing=sync_wall shape='B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3'
aten_conv2d_columns_cpu,4984.220,PASS,torch_cpu_us,sync_wall,C=11_H=59_K=11_W=59,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_conv2d_columns_cpu torch_cpu_us=4984.220 timing=sync_wall shape='C=11_H=59_K=11_W=59'
aten_conv3d,232706.901,PASS,torch_cpu_us,sync_wall,B=6_D=37_H=37_IC=12_K=19_OC=19_W=37,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_conv3d torch_cpu_us=232706.901 timing=sync_wall shape='B=6_D=37_H=37_IC=12_K=19_OC=19_W=37'
aten_conv_transpose2d,36288.967,PASS,torch_cpu_us,sync_wall,B=2_IC=16_OC=32_H=128_W=128_K=3,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_conv_transpose2d torch_cpu_us=36288.967 timing=sync_wall shape='B=2_IC=16_OC=32_H=128_W=128_K=3'
aten_cos,4452.099,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cos torch_cpu_us=4452.099 timing=sync_wall shape='N=4194304'
