source,canonical_origin,symbol,body_index,variant,canonical_nodes,variant_nodes,iterations,timeout_s,status,proof_elapsed_ms,wall_elapsed_ms,rule_matches,detail
mlir,mlir,cublasDgemm,1:0,commute_all,7,7,8,5.0,match,16.050,349.519,26,
mlir,mlir,cublasDgemm,1:0,mul_one,7,9,8,5.0,match,17.026,344.956,152,
mlir,mlir,cublasDgemm_alpha_only,0:0,add_zero,7,9,8,5.0,match,21.731,377.179,64,
mlir,mlir,cublasDgemm_alpha_only,0:0,associate_left,7,7,8,5.0,match,17.237,369.908,24,
mlir,mlir,cublasDgemm_alpha_only,0:0,associate_right,7,7,8,5.0,match,15.417,361.300,20,
mlir,mlir,cublasDgemm_alpha_only,0:0,commute_all,7,7,8,5.0,match,18.937,393.536,26,
mlir,mlir,cublasDgemm_alpha_only,0:0,mul_one,7,9,8,5.0,match,16.642,333.106,152,
mlir,mlir,cublasDgemm_outer_product,0:0,add_zero,3,5,8,5.0,match,16.319,419.127,22,
mlir,mlir,cublasDgemm_outer_product,0:0,associate_left,3,3,8,5.0,match,15.047,350.756,2,
mlir,mlir,cublasDgemm_outer_product,0:0,associate_right,3,3,8,5.0,match,16.749,358.203,2,
mlir,mlir,cublasDgemm_outer_product,0:0,commute_all,3,3,8,5.0,match,15.282,351.531,3,
mlir,mlir,cublasDgemm_outer_product,0:0,mul_one,3,5,8,5.0,match,15.785,336.242,46,
mlir,mlir,cublasDgemm_simple,0:0,add_zero,5,7,8,5.0,match,15.278,360.326,48,
mlir,mlir,cublasDgemm_simple,0:0,associate_left,5,5,8,5.0,match,14.725,345.178,4,
mlir,mlir,cublasDgemm_simple,0:0,associate_right,5,5,8,5.0,match,14.803,365.456,4,
mlir,mlir,cublasDgemm_simple,0:0,commute_all,5,5,8,5.0,match,15.930,353.670,6,
mlir,mlir,cublasDgemm_simple,0:0,mul_one,5,7,8,5.0,match,19.405,364.347,63,
mlir,mlir,cublasDgemv,0:0,add_zero,5,7,8,5.0,match,14.870,334.377,48,
mlir,mlir,cublasDgemv,0:0,associate_left,5,5,8,5.0,match,15.028,347.179,4,
mlir,mlir,cublasDgemv,0:0,associate_right,5,5,8,5.0,match,14.816,348.993,4,
mlir,mlir,cublasDgemv,0:0,commute_all,5,5,8,5.0,match,15.995,398.524,6,
mlir,mlir,cublasDgemv,0:0,mul_one,5,7,8,5.0,match,15.558,331.199,63,
mlir,mlir,cublasDgemv_T,0:0,add_zero,5,7,8,5.0,match,18.699,360.186,48,
mlir,mlir,cublasDgemv_T,0:0,associate_left,5,5,8,5.0,match,19.306,348.913,4,
mlir,mlir,cublasDgemv_T,0:0,associate_right,5,5,8,5.0,match,14.996,346.721,4,
mlir,mlir,cublasDgemv_T,0:0,commute_all,5,5,8,5.0,match,14.681,340.824,6,
mlir,mlir,cublasDgemv_T,0:0,mul_one,5,7,8,5.0,match,16.605,338.945,63,
mlir,mlir,cublasDgemv_alpha,0:0,add_zero,7,9,8,5.0,match,16.744,347.182,64,
mlir,mlir,cublasDgemv_alpha,0:0,associate_left,7,7,8,5.0,match,14.761,331.236,24,
mlir,mlir,cublasDgemv_alpha,0:0,associate_right,7,7,8,5.0,match,17.145,373.770,20,
mlir,mlir,cublasDgemv_alpha,0:0,commute_all,7,7,8,5.0,match,15.353,367.790,26,
mlir,mlir,cublasDgemv_alpha,0:0,mul_one,7,9,8,5.0,match,27.399,447.940,152,
mlir,mlir,cublasDger_rank2,0:0,add_zero,9,11,8,5.0,match,15.818,420.535,130,
mlir,mlir,cublasDger_rank2,0:0,associate_left,9,9,8,5.0,match,14.402,318.324,22,
mlir,mlir,cublasDger_rank2,0:0,associate_right,9,9,8,5.0,match,15.337,335.941,25,
mlir,mlir,cublasDger_rank2,0:0,commute_all,9,9,8,5.0,match,18.234,355.610,29,
mlir,mlir,cublasDger_rank2,0:0,mul_one,9,11,8,5.0,match,16.119,349.373,164,
mlir,mlir,cublasDsyr2k,0:0,add_zero,8,10,8,5.0,match,21.876,438.989,22,
mlir,mlir,cublasDsyr2k,0:0,associate_left,8,8,8,5.0,match,17.136,405.055,2,
mlir,mlir,cublasDsyr2k,0:0,associate_right,8,8,8,5.0,match,15.219,356.584,2,
mlir,mlir,cublasDsyr2k,0:0,commute_all,8,8,8,5.0,match,15.740,451.194,3,
mlir,mlir,cublasDsyr2k,0:0,mul_one,8,10,8,5.0,match,27.604,412.564,22,
mlir,mlir,cublasDsyr2k,1:0,add_zero,18,20,8,5.0,match,18.211,361.049,74,
mlir,mlir,cublasDsyr2k,1:0,associate_left,18,18,8,5.0,match,18.132,364.784,57,
mlir,mlir,cublasDsyr2k,1:0,associate_right,18,18,8,5.0,match,17.547,356.622,63,
mlir,mlir,cublasDsyr2k,1:0,commute_all,18,18,8,5.0,match,18.918,371.791,69,
mlir,mlir,cublasDsyr2k,1:0,mul_one,18,20,8,5.0,match,19.557,480.881,74,
mlir,mlir,cublasDsyrk,0:0,add_zero,8,10,8,5.0,match,15.603,378.813,22,
mlir,mlir,cublasDsyrk,0:0,associate_left,8,8,8,5.0,match,21.726,408.538,2,
mlir,mlir,cublasDsyrk,0:0,associate_right,8,8,8,5.0,match,21.572,459.309,2,
mlir,mlir,cublasDsyrk,0:0,commute_all,8,8,8,5.0,match,17.970,417.977,3,
mlir,mlir,cublasDsyrk,0:0,mul_one,8,10,8,5.0,match,18.060,380.956,22,
mlir,mlir,cublasDsyrk,1:0,add_zero,12,14,8,5.0,match,21.752,444.745,40,
mlir,mlir,cublasDsyrk,1:0,associate_left,12,12,8,5.0,match,18.146,457.212,20,
mlir,mlir,cublasDsyrk,1:0,associate_right,12,12,8,5.0,match,17.096,375.452,24,
mlir,mlir,cublasDsyrk,1:0,commute_all,12,12,8,5.0,match,16.694,366.281,26,
mlir,mlir,cublasDsyrk,1:0,mul_one,12,14,8,5.0,match,18.575,358.305,40,
mlir,mlir,cublasSdot,0:0,add_zero,5,7,8,5.0,match,16.866,345.176,48,
mlir,mlir,cublasSdot,0:0,associate_left,5,5,8,5.0,match,13.853,323.610,4,
mlir,mlir,cublasSdot,0:0,associate_right,5,5,8,5.0,match,13.888,316.625,4,
mlir,mlir,cublasSdot,0:0,commute_all,5,5,8,5.0,match,17.442,368.165,6,
mlir,mlir,cublasSdot,0:0,mul_one,5,7,8,5.0,match,16.705,341.283,63,
mlir,mlir,cublasSgemm_broadcast3d_memref,0:0,add_zero,5,7,8,5.0,match,15.197,381.783,48,
mlir,mlir,cublasSgemm_broadcast3d_memref,0:0,associate_left,5,5,8,5.0,match,17.648,398.932,4,
mlir,mlir,cublasSgemm_broadcast3d_memref,0:0,associate_right,5,5,8,5.0,match,14.128,312.445,4,
mlir,mlir,cublasSgemm_broadcast3d_memref,0:0,commute_all,5,5,8,5.0,match,15.006,362.763,6,
mlir,mlir,cublasSgemm_broadcast3d_memref,0:0,mul_one,5,7,8,5.0,match,16.958,360.953,63,
mlir,mlir,cublasSgemm_broadcast3d_simple,0:0,add_zero,5,7,8,5.0,match,16.631,348.350,48,
mlir,mlir,cublasSgemm_broadcast3d_simple,0:0,associate_left,5,5,8,5.0,match,15.620,366.049,4,
mlir,mlir,cublasSgemm_broadcast3d_simple,0:0,associate_right,5,5,8,5.0,match,16.010,331.436,4,
mlir,mlir,cublasSgemm_broadcast3d_simple,0:0,commute_all,5,5,8,5.0,match,15.354,359.107,6,
mlir,mlir,cublasSgemm_broadcast3d_simple,0:0,mul_one,5,7,8,5.0,match,16.120,345.667,63,
mlir,mlir,cublasSgemm_strided_batched_broadcast_rhs,0:0,add_zero,5,7,8,5.0,match,14.799,359.973,48,
mlir,mlir,cublasSgemm_strided_batched_broadcast_rhs,0:0,associate_left,5,5,8,5.0,match,15.512,371.239,4,
mlir,mlir,cublasSgemm_strided_batched_broadcast_rhs,0:0,associate_right,5,5,8,5.0,match,18.479,379.392,4,
mlir,mlir,cublasSgemm_strided_batched_broadcast_rhs,0:0,commute_all,5,5,8,5.0,match,14.016,344.207,6,
mlir,mlir,cublasSgemm_strided_batched_broadcast_rhs,0:0,mul_one,5,7,8,5.0,match,16.978,409.727,63,
mlir,mlir,cublasSgemv,0:0,add_zero,5,7,8,5.0,match,20.291,358.691,48,
mlir,mlir,cublasSgemv,0:0,associate_left,5,5,8,5.0,match,16.836,356.828,4,
mlir,mlir,cublasSgemv,0:0,associate_right,5,5,8,5.0,match,15.354,349.234,4,
mlir,mlir,cublasSgemv,0:0,commute_all,5,5,8,5.0,match,14.460,330.826,6,
mlir,mlir,cublasSgemv,0:0,mul_one,5,7,8,5.0,match,21.927,365.655,63,
mlir,mlir,cublasSgemv_T,0:0,add_zero,5,7,8,5.0,match,15.361,345.865,48,
mlir,mlir,cublasSgemv_T,0:0,associate_left,5,5,8,5.0,match,14.687,340.879,4,
mlir,mlir,cublasSgemv_T,0:0,associate_right,5,5,8,5.0,match,19.946,432.421,4,
mlir,mlir,cublasSgemv_T,0:0,commute_all,5,5,8,5.0,match,22.421,390.213,6,
mlir,mlir,cublasSgemv_T,0:0,mul_one,5,7,8,5.0,match,15.972,342.336,63,
mlir,mlir,cudaAdd_f32_tensor,0:0,add_zero,3,5,8,5.0,match,21.413,446.018,46,
mlir,mlir,cudaAdd_f32_tensor,0:0,associate_left,3,3,8,5.0,match,14.885,348.873,2,
mlir,mlir,cudaAdd_f32_tensor,0:0,associate_right,3,3,8,5.0,match,14.786,349.995,2,
mlir,mlir,cudaAdd_f32_tensor,0:0,commute_all,3,3,8,5.0,match,16.888,361.976,3,
mlir,mlir,cudaAdd_f32_tensor,0:0,mul_one,3,5,8,5.0,match,15.872,350.022,42,
mlir,mlir,cudaCopy1D_f32_tensor,0:0,add_zero,1,3,8,5.0,match,14.613,344.010,20,
mlir,mlir,cudaCopy1D_f32_tensor,0:0,associate_left,1,1,8,5.0,match,13.933,370.046,0,
mlir,mlir,cudaCopy1D_f32_tensor,0:0,associate_right,1,1,8,5.0,match,14.557,367.140,0,
mlir,mlir,cudaCopy1D_f32_tensor,0:0,commute_all,1,1,8,5.0,match,20.014,357.360,0,
mlir,mlir,cudaCopy1D_f32_tensor,0:0,mul_one,1,3,8,5.0,match,22.111,404.700,20,
mlir,mlir,cudaCopy2D_f32_tensor,0:0,add_zero,1,3,8,5.0,match,15.984,356.283,20,
mlir,mlir,cudaCopy2D_f32_tensor,0:0,associate_left,1,1,8,5.0,match,12.946,331.338,0,
mlir,mlir,cudaCopy2D_f32_tensor,0:0,associate_right,1,1,8,5.0,match,15.012,415.636,0,
mlir,mlir,cudaCopy2D_f32_tensor,0:0,commute_all,1,1,8,5.0,match,13.208,363.971,0,
mlir,mlir,cudaCopy2D_f32_tensor,0:0,mul_one,1,3,8,5.0,match,22.386,337.901,20,
mlir,mlir,cudaCopy3D_f32_tensor,0:0,add_zero,1,3,8,5.0,match,19.309,365.280,20,
mlir,mlir,cudaCopy3D_f32_tensor,0:0,associate_left,1,1,8,5.0,match,16.759,357.379,0,
mlir,mlir,cudaCopy3D_f32_tensor,0:0,associate_right,1,1,8,5.0,match,14.268,347.366,0,
mlir,mlir,cudaCopy3D_f32_tensor,0:0,commute_all,1,1,8,5.0,match,13.234,330.275,0,
mlir,mlir,cudaCopy3D_f32_tensor,0:0,mul_one,1,3,8,5.0,match,15.043,352.716,20,
mlir,mlir,cudaCopy6D_f32_tensor,0:0,add_zero,1,3,8,5.0,match,22.895,439.619,20,
mlir,mlir,cudaCopy6D_f32_tensor,0:0,associate_left,1,1,8,5.0,match,14.730,341.062,0,
mlir,mlir,cudaCopy6D_f32_tensor,0:0,associate_right,1,1,8,5.0,match,14.036,343.246,0,
mlir,mlir,cudaCopy6D_f32_tensor,0:0,commute_all,1,1,8,5.0,match,18.890,422.852,0,
mlir,mlir,cudaCopy6D_f32_tensor,0:0,mul_one,1,3,8,5.0,match,20.561,341.930,20,
mlir,mlir,cudaMaskSelect_f32_tensor,0:0,add_zero,13,15,8,5.0,match,26.143,353.660,50,
mlir,mlir,cudaMaskSelect_f32_tensor,0:0,associate_left,13,13,8,5.0,match,14.719,327.452,6,
mlir,mlir,cudaMaskSelect_f32_tensor,0:0,associate_right,13,13,8,5.0,match,16.221,347.095,6,
mlir,mlir,cudaMaskSelect_f32_tensor,0:0,commute_all,13,13,8,5.0,match,21.806,363.341,9,
mlir,mlir,cudaMaskSelect_f32_tensor,0:0,mul_one,13,15,8,5.0,match,17.332,404.856,87,
mlir,mlir,cudaRopeMulMulAdd_f32_tensor,0:0,add_zero,7,9,8,5.0,match,18.607,379.857,50,
mlir,mlir,cudaRopeMulMulAdd_f32_tensor,0:0,associate_left,7,7,8,5.0,match,15.460,356.897,6,
mlir,mlir,cudaRopeMulMulAdd_f32_tensor,0:0,associate_right,7,7,8,5.0,match,17.618,376.087,6,
mlir,mlir,cudaRopeMulMulAdd_f32_tensor,0:0,commute_all,7,7,8,5.0,match,15.049,359.444,9,
mlir,mlir,cudaRopeMulMulAdd_f32_tensor,0:0,mul_one,7,9,8,5.0,match,20.838,404.809,84,
mlir,mlir,cudaRopeMulMulSub_f32_tensor,0:0,add_zero,7,9,8,5.0,match,16.052,342.966,24,
mlir,mlir,cudaRopeMulMulSub_f32_tensor,0:0,associate_left,7,7,8,5.0,match,14.016,337.622,4,
mlir,mlir,cudaRopeMulMulSub_f32_tensor,0:0,associate_right,7,7,8,5.0,match,13.996,333.270,4,
mlir,mlir,cudaRopeMulMulSub_f32_tensor,0:0,commute_all,7,7,8,5.0,match,14.804,358.139,6,
mlir,mlir,cudaRopeMulMulSub_f32_tensor,0:0,mul_one,7,9,8,5.0,match,15.475,352.108,24,
mlir,mlir,cudaSwiGLU_f32_tensor,0:0,add_zero,10,12,8,5.0,match,16.297,335.611,24,
mlir,mlir,cudaSwiGLU_f32_tensor,0:0,associate_left,10,10,8,5.0,match,14.887,338.375,4,
mlir,mlir,cudaSwiGLU_f32_tensor,0:0,associate_right,10,10,8,5.0,match,14.555,330.374,4,
mlir,mlir,cudaSwiGLU_f32_tensor,0:0,commute_all,10,10,8,5.0,match,17.407,331.288,6,
mlir,mlir,cudaSwiGLU_f32_tensor,0:0,mul_one,10,12,8,5.0,match,16.655,403.215,48,
mlir,mlir,cudnnAddTensor_batched,0:0,add_zero,3,5,8,5.0,match,15.567,405.965,46,
mlir,mlir,cudnnAddTensor_batched,0:0,associate_left,3,3,8,5.0,match,17.100,353.843,2,
mlir,mlir,cudnnAddTensor_batched,0:0,associate_right,3,3,8,5.0,match,15.365,439.863,2,
mlir,mlir,cudnnAddTensor_batched,0:0,commute_all,3,3,8,5.0,match,14.382,336.295,3,
mlir,mlir,cudnnAddTensor_batched,0:0,mul_one,3,5,8,5.0,match,16.141,340.932,42,
mlir,mlir,cudnnBatchNormalizationForwardInference,0:0,add_zero,9,11,8,5.0,match,15.238,319.740,64,
mlir,mlir,cudnnBatchNormalizationForwardInference,0:0,associate_left,9,9,8,5.0,match,21.409,460.186,24,
mlir,mlir,cudnnBatchNormalizationForwardInference,0:0,associate_right,9,9,8,5.0,match,16.354,448.953,20,
mlir,mlir,cudnnBatchNormalizationForwardInference,0:0,commute_all,9,9,8,5.0,match,22.788,398.475,26,
mlir,mlir,cudnnBatchNormalizationForwardInference,0:0,mul_one,9,11,8,5.0,match,16.796,354.322,152,
mlir,mlir,cudnnConvolutionFwd_batched,0:0,add_zero,5,7,8,5.0,match,15.395,340.877,48,
mlir,mlir,cudnnConvolutionFwd_batched,0:0,associate_left,5,5,8,5.0,match,18.526,430.168,4,
mlir,mlir,cudnnConvolutionFwd_batched,0:0,associate_right,5,5,8,5.0,match,14.515,335.346,4,
mlir,mlir,cudnnConvolutionFwd_batched,0:0,commute_all,5,5,8,5.0,match,15.122,348.011,6,
mlir,mlir,cudnnConvolutionFwd_batched,0:0,mul_one,5,7,8,5.0,match,15.487,347.454,63,
mlir,mlir,cudnnMaxPoolFwd_batched,0:0,add_zero,6,8,8,5.0,match,16.456,341.856,20,
mlir,mlir,cudnnMaxPoolFwd_batched,0:0,associate_left,6,6,8,5.0,match,14.817,342.000,0,
mlir,mlir,cudnnMaxPoolFwd_batched,0:0,associate_right,6,6,8,5.0,match,14.073,349.981,0,
mlir,mlir,cudnnMaxPoolFwd_batched,0:0,commute_all,6,6,8,5.0,match,14.072,330.957,0,
