sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,48.540127,20.130816,68.901824
1,47.713631,22.799136,70.741536
2,49.005375,22.737728,71.981984
3,48.912159,22.184288,71.330688
4,48.174976,22.735520,71.131360
5,48.369122,23.080384,71.674336
