tap_y,tap_x,pva_q8_coefficient,pva_impulse_output,source_round_sum_over_9
-1,-1,29,29,28
-1,0,28,28,28
-1,1,29,29,28
0,-1,28,28,28
0,0,29,29,28
0,1,28,28,28
1,-1,29,29,28
1,0,28,28,28
1,1,28,28,28
