phase,index,device_ms,e2e_ms
warmup,0,2.428479910,61.740000
warmup,1,2.218048096,8.877000
warmup,2,2.219104052,8.869000
warmup,3,2.214688063,8.916000
warmup,4,2.216255903,8.814000
sample,0,2.218847990,8.852000
sample,1,2.212543964,8.820000
sample,2,2.219487906,8.872000
sample,3,2.211424112,8.875000
sample,4,2.230207920,8.931000
