phase,index,runtime_ms
warmup,0,251.173568
warmup,1,251.634752
warmup,2,249.718688
warmup,3,249.582496
warmup,4,249.380256
sample,0,249.543520
sample,1,249.562304
sample,2,249.574208
sample,3,249.388704
sample,4,249.526368
