phase,index,runtime_ms
warmup,0,173.495296001
warmup,1,173.550016001
warmup,2,173.544448003
warmup,3,173.536032006
warmup,4,173.583072007
sample,0,173.625632003
sample,1,173.781535998
sample,2,173.131136000
sample,3,173.487583995
sample,4,173.534495994
