sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,47.960770,21.810400,70.010496
1,47.558880,22.512544,70.326400
2,47.391842,22.240768,69.919680
3,47.590466,22.301792,70.147872
4,48.495392,21.516416,70.246304
5,48.006241,22.531072,70.811104
