kernel,configuration,dataset,datatype,correctness_status,samples,warmups,statistic,time_ms,speedup_vs_native,library,measurement_scope,command,log
gramschmidt,raised_residual_cpu,LARGE,double,pass,5,1,median,72300.859000,0.463427,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/gramschmidt/residual_timing_raw.log
heat-3d,raised_residual_cpu,LARGE,double,pass,5,1,median,10133.567000,0.318557,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/heat-3d/residual_timing_raw.log
jacobi-1d,raised_residual_cpu,LARGE,double,pass,5,1,median,9.743000,0.069896,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/jacobi-1d/residual_timing_raw.log
jacobi-2d,raised_residual_cpu,LARGE,double,pass,5,1,median,9417.534000,0.235473,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/jacobi-2d/residual_timing_raw.log
lu,raised_residual_cpu_loop_lowered,LARGE,double,pass,5,1,median,17547.201000,0.668726,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/lu/residual_loop_timing_raw.log
mvt,raised_residual_cpu,LARGE,double,pass,5,1,median,50.620000,0.986053,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/mvt/residual_timing_raw.log
mvt,openblas_cblas_1t,LARGE,double,pass,5,1,median,7.934000,6.291152,OpenBLAS 0.3.20 / CBLAS,PolyBench kernel call; pinned CPU 21; one BLAS thread,issues/polybench_section42/run_cpu_timing.sh,logs/mvt/cpu_library_timing_raw.log
symm,raised_residual_cpu,LARGE,double,pass,5,1,median,19402.604000,0.362054,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/symm/residual_timing_raw.log
symm,openblas_cblas_1t,LARGE,double,pass,5,1,median,48.761000,144.065565,OpenBLAS 0.3.20 / CBLAS,PolyBench kernel call; pinned CPU 21; one BLAS thread,issues/polybench_section42/run_cpu_timing.sh,logs/symm/cpu_library_timing_raw.log
syr2k,raised_residual_cpu,LARGE,double,pass,5,1,median,10818.042000,1.037473,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/syr2k/residual_timing_raw.log
syr2k,openblas_cblas_1t,LARGE,double,pass,5,1,median,61.751000,181.752976,OpenBLAS 0.3.20 / CBLAS,PolyBench kernel call; pinned CPU 21; one BLAS thread,issues/polybench_section42/run_cpu_timing.sh,logs/syr2k/cpu_library_timing_raw.log
syr2k,polly14,LARGE,double,pass,5,1,median,1036.950000,10.823500,LLVM Polly 14,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_polly_subset.sh,logs/syr2k/polly_timing_raw.log
syrk,raised_residual_cpu,LARGE,double,pass,5,1,median,2411.593000,0.765475,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/syrk/residual_timing_raw.log
syrk,openblas_cblas_1t,LARGE,double,pass,5,1,median,35.339000,52.237330,OpenBLAS 0.3.20 / CBLAS,PolyBench kernel call; pinned CPU 21; one BLAS thread,issues/polybench_section42/run_cpu_timing.sh,logs/syrk/cpu_library_timing_raw.log
trisolv,raised_residual_cpu,LARGE,double,pass,5,1,median,30.660000,0.137345,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/trisolv/residual_timing_raw.log
trisolv,openblas_cblas_1t,LARGE,double,pass,5,1,median,2.294000,1.835658,OpenBLAS 0.3.20 / CBLAS,PolyBench kernel call; pinned CPU 21; one BLAS thread,issues/polybench_section42/run_cpu_timing.sh,logs/trisolv/cpu_library_timing_raw.log
trmm,raised_residual_cpu,LARGE,double,pass,5,1,median,17383.895000,0.385063,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/trmm/residual_timing_raw.log
trmm,openblas_cblas_1t,LARGE,double,pass,5,1,median,31.027000,215.743965,OpenBLAS 0.3.20 / CBLAS,PolyBench kernel call; pinned CPU 21; one BLAS thread,issues/polybench_section42/run_cpu_timing.sh,logs/trmm/cpu_library_timing_raw.log
