phase,index,device_ms,e2e_ms
warmup,0,332.576568604,392.456000
warmup,1,333.460632324,339.443000
warmup,2,334.226135254,339.527000
warmup,3,334.405120850,339.736000
warmup,4,332.949707031,338.289000
sample,0,333.214691162,338.544000
sample,1,331.264831543,336.663000
sample,2,333.983337402,339.324000
sample,3,333.460937500,338.829000
sample,4,334.906433105,340.269000
