phase,index,device_ms,end_to_end_ms
warmup,0,0.972159982,60.897
warmup,1,0.874656022,6.767
warmup,2,0.874112010,6.877
warmup,3,0.877439976,6.809
warmup,4,0.878656030,6.831
sample,0,0.873120010,6.832
sample,1,0.888448000,6.888
sample,2,0.872575998,6.792
sample,3,0.888064027,6.777
sample,4,0.883328021,6.724
