phase,index,device_ms,end_to_end_ms
warmup,0,260.998260498,326.225
warmup,1,262.550140381,272.618
warmup,2,261.991333008,272.131
warmup,3,261.492950439,271.565
warmup,4,261.222778320,271.272
sample,0,261.872131348,271.947
sample,1,261.654846191,271.691
sample,2,261.527954102,271.517
sample,3,261.172332764,271.116
sample,4,260.833129883,270.730
