kernel,native_x86_ms,polly_x86_ms,polly_speedup,kernelfarer_status,scope
gemm,632.936000,466.970000,1.355410,unavailable_incompatible_llvm_toolchain,secondary_x86_portability_only_not_comparable_to_orin
syr2k,11223.428000,1036.950000,10.823500,unavailable_incompatible_llvm_toolchain,secondary_x86_portability_only_not_comparable_to_orin
2mm,2780.394000,2767.252000,1.004749,unavailable_incompatible_llvm_toolchain,secondary_x86_portability_only_not_comparable_to_orin
3mm,5526.133000,2422.794000,2.280893,unavailable_incompatible_llvm_toolchain,secondary_x86_portability_only_not_comparable_to_orin
