phase,index,device_ms,end_to_end_ms
warmup,0,2.874527931,67.653
warmup,1,2.644448042,13.405
warmup,2,2.649215937,13.385
warmup,3,2.651360035,13.472
warmup,4,2.649919987,13.296
sample,0,2.653984070,13.396
sample,1,2.642623901,13.208
sample,2,2.649535894,13.210
sample,3,2.646879911,13.197
sample,4,2.644608021,13.263
