kernel,implementation,dtype,shape,recipe_fingerprint,samples_us,min_us,median_us,max_us,iqr_us,errors,protocol,board,executable_sha256
aten_addmm,native_aten,f64,M=512_N=512_K=512,ffd39b2736a01291,"3992.000000,3989.920000,4003.488000,3998.432000,4021.440000",3989.920000,3998.432000,4021.440000,21.504000,0,one_process_5_warmups_5_sync_wall_samples_min_reported,Jetson_AGX_Orin_sm87,1b35679503a84b5019bef61827d674602a1833ed706f6c8bdaf2c360a0786d5b
aten_addmm,raised_gpu,f64,M=512_N=512_K=512,ffd39b2736a01291,"3868.864002,4027.456001,4021.535999,4041.632000,4107.136002",3868.864002,4027.456001,4107.136002,129.184001,0,one_process_5_warmups_5_sync_wall_samples_min_reported,Jetson_AGX_Orin_sm87,94f08b5f3f488d6bf350178e689ef6ff752100501b5e90edf8f8f535e1626476
aten_mm,native_aten,f64,M=512_N=512_K=512,cd8356bf8629a037,"3987.200000,3975.584000,4015.456000,4005.344000,4039.648000",3975.584000,4005.344000,4039.648000,46.160000,0,one_process_5_warmups_5_sync_wall_samples_min_reported,Jetson_AGX_Orin_sm87,1b35679503a84b5019bef61827d674602a1833ed706f6c8bdaf2c360a0786d5b
aten_mm,raised_gpu,f64,M=512_N=512_K=512,cd8356bf8629a037,"4110.591999,4111.136002,4112.063999,4116.096001,4102.784000",4102.784000,4111.136002,4116.096001,7.392000,0,one_process_5_warmups_5_sync_wall_samples_min_reported,Jetson_AGX_Orin_sm87,e537198c61b75d5b6a30c2444d76fb01ad9a13bb053b15f2ad7465a1ec107e6d
aten_outer,native_aten,f64,M=2048_N=2048,090827df12946d14,"311.488000,311.424000,309.760000,307.264000,308.832000",307.264000,309.760000,311.488000,3.408000,0,one_process_5_warmups_5_sync_wall_samples_min_reported,Jetson_AGX_Orin_sm87,1b35679503a84b5019bef61827d674602a1833ed706f6c8bdaf2c360a0786d5b
aten_outer,raised_gpu,f64,M=2048_N=2048,090827df12946d14,"1203.327999,1008.032001,1162.112000,1014.431999,1165.824001",1008.032001,1162.112000,1203.327999,173.344000,0,one_process_5_warmups_5_sync_wall_samples_min_reported,Jetson_AGX_Orin_sm87,b6434ee6f7fccf08b122702e16da770e2ff7651dfd4a5e79de19749d9271c442
