kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_stack_serial_cpu,8,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,K=405_R=203_T=51,f32,b4586baaae66626e,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sum,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=65536_N=64,f64,8323a8b552b16506,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_sumproduct_pair_cpu,8,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=70_K=282_M=141_N=211,f32,b1d208ea182a8abc,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_tan,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,1ea007f2c8d24860,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_tanh,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,4d4284953d7c9011,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_tanh_backward,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,4a722ac00ff4eeac,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_threshold_backward,8,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,c488a87f05701220,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_transpose_copy,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=2365_N=1774,f32,5d0809aea12f7880,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_trunc,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,f7864fefa35b9eb9,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_unbind_copy_cpu,8,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=512_N=8192,f32,8eb65b902214f090,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_zeros_cpu,8,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,8396a59034c783b2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
