kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_mul,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,9d7b8aeafb805ec3,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_nansum_cpu,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=131072_K=64,f32,0085284cb82ca0db,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_narrow_copy_dense_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,C=2897_L=724_R=1448,f32,031841e44ca18076,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_neg,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,e1c9b3016ab44715,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_nested_all_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=724_N=5793,i32,39273232cbbc40e2,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_nested_bmm_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=83_K=248_M=165_N=206,f32,052a884874109c4d,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,COMPLETE
aten_nested_clone_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=724_N=5793,f32,fe71788a5bee6f5d,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_nested_matmul_broadcast_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=89_K=266_M=178_N=222,f32,7a9f8d11436e5a37,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,COMPLETE
aten_nested_squeeze_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=724_N=5793,f32,f6aafb8065321582,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_nested_sum_backward_cpu,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_MATERIALIZED_COMPOSITION,B=724_N=5793,f32,ac753cd95b469a53,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_nested_sum_dim_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=724_N=5793,f32,132e688af89d8697,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_or_reduce_cpu,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,K=2897_R=1448,i32,bb8a8744433bfaf3,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_outer,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=2048_N=2048,f64,090827df12946d14,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_pixel_shuffle,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=9_C=14_H=19_R=9_W=19,f32,387681cd9544c530,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_pixel_shuffle_cpu_backend,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_C=13_H=34_RATIO=9_W=34,f32,72310b3d9814d0ad,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_pixel_unshuffle_cpu_backend,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_C=13_H=34_RATIO=9_W=34,f32,30ac9ab652691610,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_polar_scalarized,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,42696ee2f414f4f7,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_pow,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,d841f8307bd2c5d4,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_pow_tensor_scalar,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,23ca8e68b86e3edf,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_reciprocal,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,21e034c59660aef0,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_relu,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,2b98a38943814af4,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_renorm_scale_factor,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,e42601bd48d63c94,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_repeat_compute_cpu,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=8192_R=512,f32,8de495d9b009aa55,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_repeat_tensor_shape_cpu,6,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=8192_R=512,f32,c950974bab2c20a2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_round,6,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,fc33c00aba68ebf8,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
