kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state,cpu_samples,cpu_median_us,cpu_errors,native_gpu_samples,native_gpu_median_us,native_gpu_errors,raised_samples,raised_median_us,raised_errors,three_way_status
aten_dropout_feature_noise_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=32_C=64_H=64_W=64,f32,bdd5f8a7dcb35084,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"12470.336000,12506.528000,12508.128000,12447.328000,12609.632000",12506.528000,0,"1167.072000,1171.776000,1165.632000,1169.568000,1167.680000",1167.680000,0,,,,PENDING
aten_elu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,d81584f45f031a1c,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"2608.192,2637.920,2609.760,2618.592,2608.192",2609.760000,,"240.736000,230.144000,232.896000,225.984000,223.072000",230.144000,0,"641.503998,644.192001,641.375992,634.623993,636.416000",641.375992,0,PENDING
aten_elu_backward,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,905088a00ae3d786,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3193.632,3163.040,3120.800,3117.536,3133.824",3133.824000,,"315.104000,320.064000,315.392000,313.984000,310.944000",315.104000,0,"874.272003,870.528000,868.384003,876.895996,875.231995",874.272003,0,PENDING
aten_erf,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,0dd4b2733f8227cd,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"27855.104,27842.848,27833.824,27792.192,27820.960",27833.824000,,"223.520000,222.464000,225.728000,221.888000,223.040000",223.040000,0,"642.015991,641.695999,640.832001,642.303986,639.615997",641.695999,0,PENDING
aten_erfc,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,93a3de32a1e78949,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"84773.824,84680.928,84708.576,84703.072,84663.104",84703.072000,,"218.336000,215.936000,216.032000,215.744000,217.664000",216.032000,0,"641.760010,647.552002,638.335999,640.416000,637.408005",640.416000,0,PENDING
aten_exp,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,5b828abb80778add,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"11931.136,11913.056,11914.816,11851.008,11906.528",11913.056000,,"252.992000,249.632000,247.168000,247.648000,248.992000",248.992000,0,"1760.895996,1728.192001,1726.400009,1645.087997,1684.768005",1726.400009,0,PENDING
aten_exp2,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,a512ae97ce832704,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"8567.712,8673.664,8571.392,8563.104,8568.352",8568.352000,,"219.520000,217.600000,217.984000,215.872000,221.056000",217.984000,0,"635.264008,643.072006,638.048004,630.848007,631.007996",635.264008,0,PENDING
aten_expm1,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,b76cfa17275d9f7a,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"35548.384,35340.480,35513.856,35582.272,35513.056",35513.856000,,"232.960000,229.536000,220.832000,219.584000,221.152000",221.152000,0,"637.024002,642.655991,638.496002,637.407990,635.391998",637.407990,0,PENDING
aten_flatten_nd_linear_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=80_K=322_M=161_N=241,f32,0b73d0504d7a7d38,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"63570.656000,63604.960000,63579.840000,63638.208000,63566.880000",63579.840000,0,"725.312000,724.448000,730.784000,725.056000,723.616000",725.056000,0,,,,PENDING
aten_floor,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ee994c992feabd3f,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1781.792,1786.880,1759.968,1710.176,1688.544",1759.968000,,"221.888000,226.752000,221.056000,222.400000,220.160000",221.888000,0,"1680.287994,1725.567993,1693.600006,1703.936005,1687.328003",1693.600006,0,PENDING
aten_fmax,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,01b6a5c5d48be296,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3113.760,3103.552,3067.488,3179.808,3131.680",3113.760000,,"314.368000,319.616000,314.112000,317.216000,316.128000",316.128000,0,"874.720001,877.343994,874.080002,871.360001,876.319992",874.720001,0,PENDING
aten_fmin,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,cae427b65388ace8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3124.096,3099.168,3047.936,3074.240,3204.160",3099.168000,,"315.936000,321.600000,317.408000,315.744000,315.936000",315.936000,0,"876.895996,879.519989,875.263992,874.719986,871.744003",875.263992,0,PENDING
aten_fmod,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ebf144712f447640,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"21416.800,21425.696,21455.264,21416.864,21412.448",21416.864000,,"316.192000,320.512000,316.000000,317.696000,313.856000",316.192000,0,"898.687988,899.776001,899.167999,897.919998,901.791992",899.167999,0,PENDING
aten_frac,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,257b2d03a81cc271,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1724.384,1767.232,1787.168,1765.216,1709.024",1765.216000,,"224.160000,241.568000,732.736000,236.960000,230.976000",236.960000,0,"653.792007,659.264008,653.728012,654.112000,656.992004",654.112000,0,PENDING
aten_gelu,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,f457f641f8eed3db,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"8921.408,8970.912,8931.104,8946.560,8899.520",8931.104000,,"224.768000,221.184000,226.240000,222.848000,223.648000",223.648000,0,"636.159988,635.551987,638.975998,632.320007,632.416000",635.551987,0,PENDING
aten_gelu_backward_cpu_exact,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,71eee55ef62813bd,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"77224.288,77262.496,77291.552,77341.952,77255.360",77262.496000,,"316.256000,316.416000,318.496000,312.320000,314.112000",316.256000,0,"1129.056000,1129.472000,1123.360001,1128.447998,1124.768005",1128.447998,0,PENDING
aten_gelu_backward_cpu_tanh,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,df5b1482f040c411,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"51990.304,52037.088,51983.936,52002.720,51952.928",51990.304000,,"313.440000,316.672000,318.976000,314.400000,314.944000",314.944000,0,"5734.912003,5676.671997,6168.095993,5692.607986,6133.311996",5734.912003,0,PENDING
aten_gelu_cpu_exact,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,5b48840c70c886ab,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"8947.488,8967.680,8991.200,8984.416,8967.712",8967.712000,,"225.536000,225.408000,229.120000,223.552000,223.040000",225.408000,0,"629.791992,627.263992,628.416000,626.463989,626.847992",627.263992,0,PENDING
aten_gelu_cpu_tanh,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ddbb97ad9ec4d06e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"165433.312,165572.064,165666.176,165876.640,165326.752",165572.064000,,"222.976000,223.808000,228.864000,224.224000,223.200000",223.808000,0,"628.544006,631.424011,630.335999,624.480011,627.903992",628.544006,0,PENDING
aten_glu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,02a7dcceff8d5d61,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"26649.952000,26684.544000,26676.864000,26650.624000,26667.040000",26667.040000,0,"322.208000,323.616000,320.480000,319.456000,322.304000",322.208000,0,"1073.536011,1067.744003,1064.223999,1064.063995,1068.927994",1067.744003,0,PENDING
aten_glu_backward,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,eef22b792f3a0e64,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"14148.608000,14206.080000,14134.368000,14200.064000,14147.136000",14148.608000,0,"1415.136000,1409.728000,1406.880000,1407.040000,1405.312000",1407.040000,0,"1430.016006,1429.216003,1419.679993,1436.192001,1438.880005",1430.016006,0,PENDING
aten_glu_jvp,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,b9b515bd3789a6a2,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"29392.384000,29357.504000,29656.000000,29412.256000,29344.320000",29392.384000,0,"1590.592000,1580.576000,1591.072000,1582.944000,1585.632000",1585.632000,0,"1818.463989,1821.248001,1814.399994,1823.871994,1821.568008",1821.248001,0,PENDING
aten_hardshrink,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,6b84be6ffbc2f9cd,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"1796.672000,1717.888000,1679.872000,1719.072000,1685.536000",1717.888000,0,"221.696000,220.416000,226.048000,222.592000,223.616000",222.592000,0,"633.695999,634.815994,630.432007,631.456009,634.304001",633.695999,0,PENDING
aten_hardsigmoid,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,edda58d945a51022,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"2992.864,3002.176,2968.256,3034.144,3027.168",3002.176000,,"225.536000,223.552000,229.344000,222.880000,224.704000",224.704000,0,"637.184006,639.903992,637.791992,631.039993,632.704010",637.184006,0,PENDING
aten_hardsigmoid_backward,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,4c76ee8a69d656ec,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3128.224,3069.952,3095.296,3184.832,3114.720",3114.720000,,"319.296000,323.360000,314.592000,313.728000,314.272000",314.592000,0,"874.847992,873.888000,878.112000,873.472000,869.919998",873.888000,0,PENDING
aten_hardswish,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,a69c9eae5e6108ed,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3103.680,3089.408,3044.096,3041.408,3112.576",3089.408000,,"223.360000,221.120000,226.592000,223.808000,222.400000",223.360000,0,"634.944000,634.815994,629.248001,630.272003,629.888000",630.272003,0,PENDING
aten_hardswish_backward,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,6d9d2fe503529507,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3414.944,3401.120,3384.960,3348.800,3411.232",3401.120000,,"519.488000,510.208000,511.392000,509.248000,507.264000",510.208000,0,"865.855988,868.192001,875.104004,870.208008,869.599991",869.599991,0,PENDING
aten_hardtanh,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,83fe1f5a9c14ac29,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"14929.280000,14940.224000,14937.632000,14947.104000,14964.064000",14940.224000,0,"221.152000,218.720000,219.296000,221.824000,218.176000",219.296000,0,"634.304001,628.320007,628.255997,632.800003,633.056000",632.800003,0,PENDING
aten_hardtanh_backward,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,6488125976d74959,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3122.016000,3108.480000,3108.576000,3080.416000,3086.048000",3108.480000,0,"304.672000,302.368000,311.680000,307.488000,306.784000",306.784000,0,"872.703995,871.871994,868.192001,867.776001,875.360001",871.871994,0,PENDING
aten_huber_backward,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,b003b17441ada95b,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"4649.024000,4593.728000,4599.392000,4578.592000,4652.352000",4599.392000,0,"387.168000,394.496000,389.632000,389.312000,385.632000",389.312000,0,"867.360001,865.760010,866.751999,867.648010,867.391998",867.360001,0,PENDING
aten_huber_elementwise,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,40458531c0ed998a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3026.592000,3123.616000,3092.320000,3065.792000,3030.816000",3065.792000,0,"315.392000,313.600000,314.816000,309.696000,308.032000",313.600000,0,"869.664001,872.384003,872.544006,871.839996,876.704010",872.384003,0,PENDING
aten_hypot,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,360eac1f010bdb44,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"31508.960,31405.280,31310.432,31316.768,31378.752",31378.752000,,"332.064000,325.088000,332.320000,332.096000,320.992000",332.064000,0,"878.623993,877.087997,880.447998,882.911987,881.823990",880.447998,0,PENDING
aten_im2col,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_C=8_H=128_W=128_KH=3_KW=3,f32,a4c2fa550faa122e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"2204.064,2298.336,2251.968,2208.032,2037.856",2208.032000,,"227.584000,229.568000,230.624000,227.232000,230.432000",229.568000,0,"171.647995,173.568008,175.007996,175.264008,173.344009",173.568008,0,PENDING
aten_int_mm_out_cpu,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=512_N=512_K=1024,f32,2ee5f09162f73db9,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"706385.536,706466.912,706620.736,706316.000,706569.376",706466.912000,,"101.280000,98.624000,102.944000,97.696000,95.648000",98.624000,0,,,,PENDING
aten_joint_scaling_cpu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=16777216,f32,0f1d1b10e91e7c68,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"141110.624000,141324.000000,141099.584000,141128.192000,141008.256000",141110.624000,0,"2393.152000,2400.672000,2430.880000,2248.256000,2438.912000",2400.672000,0,,,,PENDING
aten_kron_impl_cpu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,A=256_B=128_C=32_D=32,f32,71b58bc9f4730368,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"6643.744000,6700.064000,6737.472000,6738.848000,6677.792000",6700.064000,0,"1107.552000,1106.240000,1104.224000,1108.544000,1100.352000",1106.240000,0,"5996.319992,6005.888000,6015.487991,5999.136002,5961.791992",5999.136002,0,PENDING
aten_kron_out_cpu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,A=256_B=128_C=32_D=32,f32,7607a09d96787dbe,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"6684.768000,6677.632000,6706.368000,6742.432000,6654.720000",6684.768000,0,"1105.216000,1103.840000,1101.760000,1106.912000,1102.496000",1103.840000,0,"6112.864014,6035.328003,6019.040009,6008.960007,6208.352005",6035.328003,0,PENDING
aten_leaky_relu,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,f81c45745cd970f2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1699.264,1723.776,1704.576,1787.104,1731.296",1723.776000,,"224.736000,225.696000,230.688000,225.824000,224.736000",225.696000,0,"637.568008,630.623993,628.000000,635.360001,634.400009",634.400009,0,PENDING
aten_lerp,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,4e802a140a827300,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"4581.696000,4531.200000,4489.472000,4528.448000,4501.792000",4528.448000,0,"403.744000,400.992000,404.640000,400.192000,401.280000",401.280000,0,"1135.520004,1130.399994,1129.343994,1126.464005,1131.200012",1130.399994,0,PENDING
aten_lerp_scalar,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,3ed458b205f9ff3d,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3107.936000,3085.216000,3071.200000,3073.920000,3040.320000",3073.920000,0,"334.208000,324.192000,329.760000,317.984000,319.584000",324.192000,0,"875.264008,876.544006,874.112000,875.807999,874.207993",875.264008,0,PENDING
aten_lerp_scalar_cpu,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,78031c8798b7cb9a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3042.048000,3048.000000,3081.920000,3098.080000,3071.360000",3071.360000,0,"315.744000,312.832000,317.824000,313.280000,308.480000",313.280000,0,"870.559998,869.343994,869.984009,873.311996,877.503998",870.559998,0,PENDING
aten_lerp_tensor_cpu,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,1cfee9a904ffc548,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"4523.936,4552.896,4500.768,4504.736,4505.376",4505.376000,,"695.072000,425.600000,425.760000,414.304000,416.032000",425.600000,0,"1126.271988,1126.847992,1130.687988,1129.087997,1126.720001",1126.847992,0,PENDING
aten_log,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,3de8004fa500429e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"22219.104,22224.000,22170.688,22222.336,22224.000",22222.336000,,"236.480000,236.096000,225.248000,223.616000,221.600000",225.248000,0,"1342.272003,1293.408005,1280.863998,1307.552002,1283.200012",1293.408005,0,PENDING
aten_log10,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,16be5501c4b754a0,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"24148.384,24123.232,24152.192,24127.936,24146.848",24146.848000,,"226.720000,233.248000,226.624000,224.128000,225.696000",226.624000,0,"634.271988,641.727997,635.488007,638.528000,632.639999",635.488007,0,PENDING
aten_log1p,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,e84c88cd8e52d9d7,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"23693.952,23634.528,23700.992,23660.832,23627.008",23660.832000,,"255.104000,240.384000,232.800000,233.760000,233.984000",233.984000,0,"632.736008,640.031998,633.216003,634.687988,630.143997",633.216003,0,PENDING
aten_log2,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,bb9bfb2fc1e8317e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"24636.768,24538.528,24610.048,24568.000,24537.696",24568.000000,,"228.384000,226.400000,223.904000,224.576000,219.648000",224.576000,0,"633.024002,637.856003,633.024002,634.016006,630.176010",633.024002,0,PENDING
aten_log_sigmoid_backward_cpu,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,aab50d8328c1a843,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"4542.976,4525.152,4597.696,4540.768,4543.840",4542.976000,,"314.656000,313.024000,318.304000,313.184000,313.664000",313.664000,0,"1441.279999,1443.263992,1432.063995,1434.816010,1430.656006",1434.816010,0,PENDING
aten_log_sigmoid_cpu,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=8388608,f32,f5856fc92edb07f6,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"92882.720000,92597.216000,92649.600000,92751.904000,92743.936000",92743.936000,0,"2420.544000,2408.096000,2396.736000,2396.096000,2413.984000",2408.096000,0,,,,PENDING
aten_logaddexp,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,f8780f262412130a,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"54699.072,54763.456,54722.976,54750.720,54685.888",54722.976000,,"328.352000,318.016000,326.880000,317.376000,317.728000",318.016000,0,"881.407990,883.103989,874.528000,872.416000,872.127991",874.528000,0,PENDING
aten_logaddexp2,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,42ce8060fb0f98d2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"46210.688,46198.464,46200.352,46267.936,46196.672",46200.352000,,"316.000000,314.848000,320.032000,316.512000,314.048000",316.000000,0,"876.608002,874.528000,881.216003,876.223999,873.184006",876.223999,0,PENDING
aten_logit,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,8d961159ef398d33,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"45775.712000,45733.696000,45782.656000,45726.240000,45751.904000",45751.904000,0,"222.144000,220.032000,226.592000,219.680000,221.120000",221.120000,0,"638.624008,638.848007,635.679993,640.576004,638.144012",638.624008,0,PENDING
aten_logit_backward,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,9d4fddc2f83a2bdf,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3252.288000,3244.896000,3234.656000,3231.136000,3246.880000",3244.896000,0,"316.352000,315.264000,319.584000,313.664000,312.704000",315.264000,0,"1077.215988,1077.695999,1095.679993,1077.472000,1079.199997",1077.695999,0,PENDING
aten_masked_scale,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,f023c7dce84c90d0,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING,"3433.664000,3425.504000,3601.760000,3416.512000,3408.800000",3425.504000,0,"419.168000,421.568000,420.192000,431.680000,418.496000",420.192000,0,"633.152008,640.960007,633.311996,632.639999,632.319992",633.152008,0,COMPLETE
aten_max_pool2d,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=16_C=32_H=128_W=128_K=2_S=2,f32,a2ade0d34a8c60b6,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"52476.864,52152.512,52411.168,52266.112,52241.536",52266.112000,,"378.496000,378.048000,378.784000,375.392000,376.480000",378.048000,0,"366.016006,367.871994,365.023987,367.647995,365.343994",366.016006,0,PENDING
aten_maximum,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_BENCHMARK_DOMAIN,N=4194304,f32,20b4059e81d20c1b,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3124.224,3197.632,3167.136,3088.704,3103.776",3124.224000,,"606.848000,325.536000,326.336000,315.936000,318.144000",325.536000,0,"875.519989,879.679993,876.447998,874.880005,877.343994",876.447998,0,PENDING
aten_minimum,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_BENCHMARK_DOMAIN,N=4194304,f32,3f5f73c24f2d1d36,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3187.840,3134.304,3100.128,3106.016,3117.472",3117.472000,,"315.360000,328.352000,324.640000,309.280000,316.256000",316.256000,0,"873.119995,872.319992,875.552002,877.791992,873.279999",873.279999,0,PENDING
aten_mish,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ed7cd796ed121579,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"107883.232,107939.936,108052.928,107967.872,107920.992",107939.936000,,"223.648000,220.832000,224.928000,221.120000,218.816000",221.120000,0,"1338.016006,1370.944000,1334.176010,1327.104004,1343.935989",1338.016006,0,PENDING
aten_mish_backward,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,70bf6cbf89d9ad97,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"120183.744,120069.952,120222.016,120082.624,120108.960",120108.960000,,"306.592000,305.792000,309.728000,304.960000,304.512000",305.792000,0,"1132.447998,1136.160004,1134.880005,1130.848007,1132.671997",1132.671997,0,PENDING
aten_mm,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=512_N=512_K=512,f64,cd8356bf8629a037,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"16699.008,16734.976,16728.256,16671.840,16647.936",16699.008000,,"3819.424000,3820.256000,3813.600000,3813.664000,3817.696000",3817.696000,0,,,,PENDING
aten_mse_backward,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,3848b837a6d2bcb9,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"4492.160000,4490.240000,4531.744000,4494.432000,4487.008000",4492.160000,0,"391.584000,397.248000,393.760000,391.968000,391.776000",391.968000,0,"870.239990,869.791992,869.375992,873.408005,881.024002",870.239990,0,PENDING
aten_mse_elementwise,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,4fddb01a5fe09064,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3151.680,3212.864,3244.768,3142.528,3146.592",3151.680000,,"314.400000,313.536000,317.792000,312.288000,311.968000",313.536000,0,"880.384003,876.992004,877.759995,878.239990,875.455994",877.759995,0,PENDING
aten_mul,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,9d7b8aeafb805ec3,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3140.096,3163.776,3175.232,3133.792,3116.480",3140.096000,,"322.304000,309.472000,315.488000,317.056000,317.184000",317.056000,0,"876.064011,873.375992,870.944000,871.584000,875.168015",873.375992,0,PENDING
aten_nansum_cpu,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=131072_K=64,f32,0085284cb82ca0db,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"2729.952,2728.192,2758.048,2742.048,2733.920",2733.920000,,"433.216000,436.096000,429.280000,435.104000,429.696000",433.216000,0,,,,PENDING
aten_narrow_copy_dense_cpu,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,C=2897_L=724_R=1448,f32,031841e44ca18076,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"841.856000,842.592000,855.616000,833.120000,831.040000",841.856000,0,"93.024000,95.872000,95.680000,94.528000,96.032000",95.680000,0,"90.528000,89.152008,86.815994,88.448013,86.880005",88.448013,0,PENDING
