kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state,cpu_samples,cpu_median_us,cpu_errors,native_gpu_samples,native_gpu_median_us,native_gpu_errors,raised_samples,raised_median_us,raised_errors,three_way_status
aten_argmax_cpu,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=131072_K=64,f32,8b87dc0870be83c0,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"39154.496,39171.968,39160.992,39120.928,39144.864",39154.496000,,"764.256000,764.128000,760.000000,761.056000,762.112000",762.112000,0,,,,PENDING
aten_argmin_cpu,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=131072_K=64,f32,927e47c252552e8f,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"39251.168,39191.808,39214.048,39248.160,39201.248",39214.048000,,"763.616000,764.192000,759.584000,761.984000,760.160000",761.984000,0,,,,PENDING
aten_as_complex_cpu,1,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=2097151,f32,95d705a24393ccd9,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"2992.320000,3064.736000,3043.584000,3029.728000,3024.960000",3029.728000,0,"320.768000,324.672000,322.048000,319.136000,324.288000",322.048000,0,,,,PENDING
aten_asin,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,4a903a7e272d7c75,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"21966.400,21832.544,21694.528,21785.152,22024.288",21832.544000,,"226.464000,228.256000,226.432000,223.296000,224.384000",226.432000,0,"1699.552002,1724.960007,1715.839996,1708.384003,1702.272003",1708.384003,0,PENDING
aten_asinh,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,44b2f1000e079033,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"120240.480,121255.456,121086.144,120439.232,120725.024",120725.024000,,"223.168000,225.440000,221.152000,224.224000,225.152000",224.224000,0,"1779.103989,1769.535995,1779.904007,1731.231995,1370.912003",1769.535995,0,PENDING
aten_atan,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,66b99564041cb6eb,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"30186.144,30191.552,30201.952,30198.368,30200.288",30198.368000,,"225.184000,223.808000,230.944000,225.856000,223.552000",225.184000,0,"1362.080002,1335.456009,1318.367996,1334.048004,1316.032013",1334.048004,0,PENDING
aten_atan2,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,8397dd293ff562c5,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"41062.336,41006.080,41021.152,40998.208,41044.032",41021.152000,,"314.080000,313.312000,320.448000,313.696000,314.048000",314.048000,0,"911.199997,913.279999,911.007996,908.192001,906.975998",911.007996,0,PENDING
aten_atanh,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,51c661d010e4b6de,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"38913.312,38913.472,38976.608,38911.136,38942.208",38913.472000,,"226.144000,225.280000,229.056000,225.152000,228.672000",226.144000,0,"1300.608002,1338.143997,1353.888000,1299.807999,1323.007996",1323.007996,0,PENDING
aten_avg_pool2d,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=2_C=4_H=16_W=16,f32,f8994b10d0786ea2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"10.656,9.984,9.024,8.128,7.680",9.024000,,"44.960000,42.944000,27.776000,40.960000,22.816000",40.960000,0,"54.623993,49.087997,54.975998,67.423996,61.535995",54.975998,0,PENDING
aten_avg_pool2d_backward_cpu,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=1_C=2_I0=6_I1=7,f32,871518045875f207,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"21.760,20.544,17.440,17.120,16.864",17.440000,,"21.952000,39.296000,25.824000,41.984000,27.552000",27.552000,0,,,,PENDING
