kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_blas_axpy_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,6052b858c06bd41d,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_blas_copy_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,360a1fed35fdcb46,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_blas_scale_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,cf3d9e50f32fba45,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_bmm,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,BATCH=70_K=282_M=141_N=211,f32,c132d6acaaae7ca9,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_cat_serial_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,K=3096_M=581_R=774,f32,8969bf611c743094,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_ceil,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,99973374875367c6,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_channel_shuffle,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=14_CPG=28_G=14_H=28_W=28,f32,f199c08db2dbc190,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_channel_shuffle_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=17_CPG=26_G=34_S=276,f32,9c0f4efa20ff5874,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_clamp,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,732ae21a30b24a68,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_clamp_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,3cd8e32878aada7c,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING
aten_clamp_max_scalar_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,20afe51bff9319b3,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING
aten_clamp_min_scalar_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,79cad4471d373dda,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING
aten_clamp_scalar_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,a5b7d49626a84340,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING
aten_complex_scalarized,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,4aae25a1eecb3239,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_compressed_block_convert_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,R=2048_C=2048_BR=4_BC=4,f32,5d2934fd76b7e9c2,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_conj_complex_scalarized,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,cc9eb5896e00ae5b,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_conv1d,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=32_IC=64_OC=128_W=4096_K=3,f32,a345c29492c9ca0c,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_conv2d,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3,f32,3b3bcbef73116a11,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_conv_transpose2d,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=2_IC=16_OC=32_H=128_W=128_K=3,f32,c294507cdb3f054e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_conv_transpose3d_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,C=8_O=16_D=32_H=32_W=32_K=3,f32,cb3ec4a1c6f08eb8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_convert_coo_to_csr_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304_R=65536,i32,88b6f49f4ce53c69,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_copy_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,bfde07a5167fb20d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
