sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,456.210266,16.412832,472.784928
1,455.207092,16.977024,472.372960
2,457.440765,16.686464,474.303008
3,457.523712,17.208352,474.892320
4,456.761505,17.379296,474.301088
5,451.239105,17.089728,468.489824
