sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,48.556000,21.044672,70.508768
1,47.194752,23.017664,71.078496
2,48.016384,22.038817,70.962944
3,47.254784,22.872000,70.330656
4,47.704098,23.196864,71.135104
5,48.257694,22.923904,71.387072
