sample,compute_device_ms,memory_device_ms,e2e_host_ms
warmup,42.217758,21.208576,63.654176
1,42.066303,22.813344,65.109408
2,41.533089,22.002304,63.759296
3,41.558975,22.335200,64.134816
4,41.412064,22.154272,63.802528
5,42.290722,22.204032,64.718848
