kernel,correctness,problem,mapped_raised_us,device_resident_us,resident_cuda_us,mapped_over_resident,device_over_resident,mapped_over_device,hardware,statistic,notes
aten_abs,PASS,N=8388608,1500.051236,1493.832003,—,—,—,1.004163,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_acos,PASS,N=8388608,1511.315210,1499.700802,—,—,—,1.007744,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_acosh,PASS,N=8388608 positive-domain,1577.651175,1637.745590,—,—,—,0.963307,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_add,PASS,B32 C64 H64 W64,955.712004,581.417594,542.347229,1.762177,1.072039,1.643762,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_addmm,PASS,M512 N512 K512,3818.009561,3812.051204,3778.838379,1.010366,1.008789,1.001563,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_as_complex_cpu,PASS,N=8388608,49486.598372,27545.449603,27387.167969,1.806926,1.005779,1.796543,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_asin,PASS,N=8388608,1509.913569,1500.958402,—,—,—,1.005966,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_asinh,PASS,N=8388608,1685.119979,1686.900796,—,—,—,0.998944,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_atan,PASS,N=8388608,1510.822400,1520.363195,—,—,—,0.993725,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_atanh,PASS,N=8388608 unit-domain,1535.852812,1558.929600,—,—,—,0.985197,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_batch_norm,PASS,B32 C64 H64 W64,653.036777,455.651199,392.196808,1.665074,1.161792,1.433194,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_bf16_dot_cpu,PASS,K=16777216 scalarized-f32,858.924771,809.969602,764.019165,1.124219,1.060143,1.060441,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_bf16_gemv_trans_cpu,PASS,M=4096 K=8192 scalarized-f32 trans,907.321600,983.500795,793.395142,1.143594,1.239610,0.922543,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_blas_axpy_cpu,PASS,N=16777216,1924.499217,1958.683203,—,—,—,0.982547,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_blas_copy_cpu,PASS,N=16777216,6829.843204,860.761595,697.302368,9.794665,1.234417,7.934651,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_blas_dot_naive_cpu,PASS,N=K=16777216,858.073588,807.825604,763.835205,1.123375,1.057591,1.062202,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_blas_gemv_generic_cpu,PASS,M=4096 K=8192,884.396816,821.988797,758.952026,1.165287,1.083058,1.075923,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_blas_scale_cpu,PASS,N=16777216,849.414384,851.352001,—,—,—,0.997724,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_bmm,PASS,—,5929.100839,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_cat_serial_cpu,PASS,R=4096 M=4096 K=2048,6822.777633,746.528001,701.761597,9.722358,1.063791,9.139346,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_ceil,PASS,N=8388608,1492.780773,1497.524802,—,—,—,0.996832,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_complex_scalarized,PASS,N=8388608,6865.696004,745.959999,700.889587,9.795688,1.064305,9.203839,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_conj_complex_scalarized,PASS,N=8388608,5421.215994,1888.923196,—,—,—,2.870003,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_conv2d,PASS,B8 IC32 OC64 H64 W64 KH3 KW3,854.982389,799.564796,436.988770,1.956532,1.829715,1.069310,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_conv3d,PASS,B1 IC8 OC16 D48 H48 W48 K3,884.665595,747.268798,447.262390,1.977957,1.670762,1.183865,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_conv_transpose3d_backward_cpu,PASS,C8 O16 D48 H48 W48 K3,764.467195,744.934403,449.039978,1.702448,1.658949,1.026221,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_copy_cpu,PASS,N=16777216,6786.847999,728.097593,695.990417,9.751353,1.046132,9.321344,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_copy_tensor_array_cpu,PASS,B=4096 N=4096,6802.419201,728.841603,697.036743,9.759054,1.045629,9.333193,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_cos,PASS,N=8388608,1520.121610,1516.574400,—,—,—,1.002339,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_cosh,PASS,N=8388608,1499.705575,1498.499198,—,—,—,1.000805,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_cpu_blas_gemm_batched_cpu,PASS,B=16 M=256 N=256 K=256,5867.308797,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_cpu_blas_gemm_cpu,PASS,M=512 N=512 K=512,2000.377607,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_cpu_blas_gemm_strided_batched_cpu,PASS,B=16 M=256 N=256 K=256,5893.747229,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_dot,PASS,N8388608,878.323196,811.854401,766.452759,1.145959,1.059236,1.081873,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_exp,PASS,N=8388608,1505.280007,1490.606403,—,—,—,1.009844,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_fast_cat_dim0_cpu,PASS,B=4096 N=4096,6839.865586,727.584003,696.750366,9.816809,1.044253,9.400792,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_flatten_nd_linear_cpu,PASS,B16 M256 N256 K256,239.180820,205.689599,177.688004,1.346072,1.157589,1.162824,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_floor,PASS,N=8388608,1493.542409,1491.759997,—,—,—,1.001195,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_fp16_dot_cpu,PASS,K=16777216 scalarized-f32,857.900782,808.041601,764.278442,1.122498,1.057261,1.061704,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
