phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,69.264099,69.242976,24.190656,160.084512,28
warmup,1,40.269791,40.259296,22.950720,63.772160,28
warmup,2,40.231903,40.222048,23.085728,63.868992,28
warmup,3,40.255135,40.244160,22.773600,63.621056,28
warmup,4,40.287552,40.276032,23.110145,64.023264,28
sample,0,40.220322,40.209632,23.074752,63.815072,28
sample,1,40.241470,40.230592,23.008608,63.817056,28
sample,2,40.286114,40.276544,22.485600,63.283776,28
sample,3,40.276928,40.266336,22.756256,63.532448,28
sample,4,40.242176,40.231296,22.562304,63.287712,28
