phase,index,device_ms,e2e_ms
warmup,0,36.586017609,94.226000000
warmup,1,36.310207367,40.109000000
warmup,2,31.994976044,35.771000000
warmup,3,33.063358307,36.823000000
warmup,4,36.245311737,40.012000000
sample,0,30.116159439,33.901000000
sample,1,30.727359772,34.489000000
sample,2,36.352222443,40.134000000
sample,3,33.590110779,37.348000000
sample,4,33.011070251,36.785000000
