phase,index,runtime_ms
warmup,0,181.139200
warmup,1,181.471200
warmup,2,181.385248
warmup,3,181.649568
warmup,4,181.486464
sample,0,181.630432
sample,1,181.512256
sample,2,181.729504
sample,3,181.498368
sample,4,181.568704
