phase,index,device_ms,e2e_ms
warmup,0,71.934593201,134.019000
warmup,1,71.739265442,79.265000
warmup,2,71.772865295,79.303000
warmup,3,71.762817383,79.242000
warmup,4,71.765922546,79.233000
sample,0,71.729347229,79.172000
sample,1,71.743362427,79.174000
sample,2,71.761245728,79.232000
sample,3,71.733596802,79.139000
sample,4,71.744064331,79.135000
