phase,index,device_ms,end_to_end_ms
warmup,0,83.599777222,145.085
warmup,1,83.438781738,91.206
warmup,2,83.420669556,90.076
warmup,3,83.466880798,90.074
warmup,4,83.408706665,90.035
sample,0,83.421470642,90.066
sample,1,83.418144226,90.021
sample,2,83.414398193,90.033
sample,3,83.409149170,89.991
sample,4,83.438400269,90.036
